,homeTeam,awayTeam,homeScore,awayScore,OT
0,New Orleans Hornets,Sacramento Kings,93,67,0
1,Philadelphia Sixers,Milwaukee Bucks,108,117,1
2,Phoenix Suns,Dallas Mavericks,108,111,1
3,San Antonio Spurs,Denver Nuggets,102,91,0
4,Boston Celtics,New York Knicks,114,100,1
5,Chicago Bulls,Charlotte Bobcats,109,105,1
6,Cleveland Cavaliers,New Orleans Hornets,109,87,0
7,Denver Nuggets,Los Angeles Lakers,97,99,1
8,Detroit Pistons,Philadelphia Sixers,108,88,0
9,Golden State Warriors,Atlanta Hawks,122,97,0
10,Houston Rockets,Sacramento Kings,98,89,0
11,Memphis Grizzlies,Miami Heat,78,97,0
12,Minnesota Timberwolves,Portland Trail Blazers,90,86,0
13,New Jersey Nets,Milwaukee Bucks,96,110,0
14,Orlando Magic,Indiana Pacers,78,90,0
15,Seattle Supersonics,Los Angeles Clippers,93,101,0
16,Toronto Raptors,Washington Wizards,96,99,0
17,Utah Jazz,Dallas Mavericks,93,82,0
18,Los Angeles Lakers,Phoenix Suns,112,122,0
19,Miami Heat,Indiana Pacers,102,105,0
20,Boston Celtics,Detroit Pistons,81,82,0
21,Denver Nuggets,Portland Trail Blazers,107,68,0
22,Golden State Warriors,Utah Jazz,85,91,0
23,Los Angeles Clippers,Atlanta Hawks,92,77,0
24,New York Knicks,Washington Wizards,75,86,0
25,Orlando Magic,Memphis Grizzlies,85,94,0
26,Philadelphia Sixers,Charlotte Bobcats,93,110,0
27,San Antonio Spurs,Cleveland Cavaliers,102,76,0
28,Seattle Supersonics,Minnesota Timberwolves,107,102,1
29,Toronto Raptors,New Jersey Nets,92,102,0
30,Charlotte Bobcats,Boston Celtics,107,105,1
31,Dallas Mavericks,San Antonio Spurs,103,84,0
32,Detroit Pistons,Toronto Raptors,117,84,0
33,Houston Rockets,New Orleans Hornets,84,91,0
34,Indiana Pacers,Philadelphia Sixers,109,111,0
35,Los Angeles Clippers,Minnesota Timberwolves,100,99,1
36,Memphis Grizzlies,Cleveland Cavaliers,113,106,0
37,Milwaukee Bucks,Miami Heat,105,100,0
38,New Jersey Nets,Chicago Bulls,100,99,0
39,Portland Trail Blazers,Atlanta Hawks,94,93,0
40,Utah Jazz,Phoenix Suns,88,97,0
41,Washington Wizards,Orlando Magic,87,79,0
42,Los Angeles Lakers,Denver Nuggets,112,92,0
