,homeTeam,awayTeam,homeScore,awayScore,OT
0,Boston Celtics,Chicago Bulls,92,85,0
1,Charlotte Hornets,New York Knicks,85,97,0
2,Denver Nuggets,San Antonio Spurs,96,107,0
3,Detroit Pistons,Washington Wizards,92,79,0
4,Houston Rockets,Cleveland Cavaliers,94,86,0
5,Los Angeles Lakers,Utah Jazz,104,87,0
6,Miami Heat,Toronto Raptors,114,101,0
7,Minnesota Timberwolves,Golden State Warriors,129,113,0
8,New Jersey Nets,Indiana Pacers,97,95,0
9,Orlando Magic,Atlanta Hawks,99,105,0
10,Philadelphia Sixers,Milwaukee Bucks,88,103,0
11,Phoenix Suns,Los Angeles Clippers,110,100,0
12,Portland Trail Blazers,Seattle Supersonics,83,91,0
13,Vancouver Grizzlies,Dallas Mavericks,88,90,0
14,Atlanta Hawks,Toronto Raptors,90,85,0
15,Chicago Bulls,Philadelphia Sixers,94,74,0
16,Indiana Pacers,Golden State Warriors,96,83,0
17,Los Angeles Clippers,Portland Trail Blazers,74,82,0
18,Milwaukee Bucks,New Jersey Nets,109,113,1
19,Minnesota Timberwolves,Charlotte Hornets,106,90,0
20,San Antonio Spurs,Cleveland Cavaliers,83,80,0
21,Seattle Supersonics,Dallas Mavericks,81,89,0
22,Utah Jazz,Denver Nuggets,102,84,0
23,Vancouver Grizzlies,Sacramento Kings,97,96,0
24,Washington Wizards,Miami Heat,108,109,0
25,Boston Celtics,Orlando Magic,96,107,0
26,New York Knicks,Detroit Pistons,86,94,0
27,Sacramento Kings,Houston Rockets,77,93,0
28,Chicago Bulls,San Antonio Spurs,87,83,1
29,Miami Heat,Charlotte Hornets,99,112,0
30,Utah Jazz,Washington Wizards,86,90,0
31,Atlanta Hawks,Detroit Pistons,82,71,0
32,Cleveland Cavaliers,Indiana Pacers,80,77,0
33,Dallas Mavericks,Vancouver Grizzlies,92,87,0
34,Denver Nuggets,Washington Wizards,96,120,0
35,Milwaukee Bucks,Orlando Magic,110,76,0
36,New York Knicks,Boston Celtics,102,70,0
37,Phoenix Suns,Utah Jazz,106,84,0
38,Portland Trail Blazers,Minnesota Timberwolves,122,105,0
39,Sacramento Kings,Los Angeles Lakers,98,101,0
40,Seattle Supersonics,Houston Rockets,118,94,0
41,Toronto Raptors,Golden State Warriors,104,86,0
42,Boston Celtics,Miami Heat,74,90,0
43,Charlotte Hornets,Dallas Mavericks,110,103,0
44,Chicago Bulls,Orlando Magic,94,81,0
45,Detroit Pistons,Indiana Pacers,87,99,0
