,homeTeam,awayTeam,homeScore,awayScore,OT
0,New York Knicks,Boston Celtics,106,104,0
1,Golden State Warriors,Los Angeles Clippers,86,105,0
2,Los Angeles Lakers,Chicago Bulls,87,88,0
3,Dallas Mavericks,Miami Heat,94,105,0
4,Oklahoma City Thunder,Orlando Magic,97,89,0
5,Dallas Mavericks,Denver Nuggets,93,115,0
6,Charlotte Bobcats,Milwaukee Bucks,96,95,0
7,Washington Wizards,New Jersey Nets,84,90,0
8,Phoenix Suns,New Orleans Hornets,84,85,0
9,Cleveland Cavaliers,Toronto Raptors,96,104,0
10,Indiana Pacers,Detroit Pistons,91,79,0
11,Sacramento Kings,Los Angeles Lakers,100,91,0
12,San Antonio Spurs,Memphis Grizzlies,95,82,0
13,Minnesota Timberwolves,Oklahoma City Thunder,100,104,0
14,Golden State Warriors,Chicago Bulls,99,91,0
15,Orlando Magic,Houston Rockets,104,95,0
16,Portland Trail Blazers,Philadelphia Sixers,107,103,0
17,New Jersey Nets,Atlanta Hawks,70,106,0
18,Miami Heat,Boston Celtics,115,107,0
19,Portland Trail Blazers,Sacramento Kings,101,79,0
20,Los Angeles Lakers,Utah Jazz,96,71,0
21,Milwaukee Bucks,Minnesota Timberwolves,98,95,0
22,Toronto Raptors,Indiana Pacers,85,90,0
23,San Antonio Spurs,Los Angeles Clippers,115,90,0
24,Memphis Grizzlies,Oklahoma City Thunder,95,98,0
25,Detroit Pistons,Cleveland Cavaliers,89,105,0
26,Charlotte Bobcats,Miami Heat,95,96,0
27,Denver Nuggets,Utah Jazz,117,100,0
28,Atlanta Hawks,Washington Wizards,101,83,0
29,New Orleans Hornets,Boston Celtics,97,78,0
30,Golden State Warriors,New York Knicks,92,78,0
31,Phoenix Suns,Philadelphia Sixers,83,103,0
32,Oklahoma City Thunder,Dallas Mavericks,104,102,0
33,Orlando Magic,New Jersey Nets,94,78,0
34,Portland Trail Blazers,Denver Nuggets,111,102,0
35,Houston Rockets,San Antonio Spurs,105,85,0
36,Sacramento Kings,Chicago Bulls,98,108,0
37,Los Angeles Lakers,New York Knicks,99,82,0
38,Boston Celtics,Detroit Pistons,96,85,0
39,Atlanta Hawks,New Jersey Nets,105,98,0
40,New Orleans Hornets,Phoenix Suns,78,93,0
41,Milwaukee Bucks,Washington Wizards,102,81,0
42,Indiana Pacers,Cleveland Cavaliers,98,91,1
43,Memphis Grizzlies,Houston Rockets,113,93,0
44,Charlotte Bobcats,Orlando Magic,79,100,0
45,Los Angeles Clippers,Chicago Bulls,101,114,0
46,Minnesota Timberwolves,Miami Heat,101,103,0
47,Utah Jazz,Philadelphia Sixers,102,99,0
48,Dallas Mavericks,Toronto Raptors,99,86,0
49,Los Angeles Lakers,Denver Nuggets,92,89,0
50,Oklahoma City Thunder,Phoenix Suns,107,97,0
51,San Antonio Spurs,Utah Jazz,104,89,0
52,Detroit Pistons,Indiana Pacers,96,88,0
53,Houston Rockets,Atlanta Hawks,95,84,0
54,Sacramento Kings,New York Knicks,92,114,0
55,Golden State Warriors,Philadelphia Sixers,79,107,0
56,Washington Wizards,Boston Celtics,86,94,0
57,Minnesota Timberwolves,Dallas Mavericks,99,82,0
58,Denver Nuggets,Los Angeles Lakers,99,90,0
59,Cleveland Cavaliers,New Jersey Nets,98,82,0
60,Sacramento Kings,New Orleans Hornets,96,80,0
61,Los Angeles Clippers,Portland Trail Blazers,93,88,0
62,Orlando Magic,Toronto Raptors,102,96,0
63,Miami Heat,Charlotte Bobcats,129,90,0
64,Chicago Bulls,Memphis Grizzlies,104,64,0
65,New Jersey Nets,Indiana Pacers,94,108,0
66,Utah Jazz,New Orleans Hornets,94,90,0
67,Dallas Mavericks,Oklahoma City Thunder,100,87,0
68,Detroit Pistons,Orlando Magic,89,78,0
69,Minnesota Timberwolves,San Antonio Spurs,106,96,0
70,Boston Celtics,Washington Wizards,100,92,0
