,homeTeam,awayTeam,homeScore,awayScore,OT
0,Cleveland Cavaliers,New York Knicks,117,88,0
1,Portland Trail Blazers,Utah Jazz,113,104,0
2,Golden State Warriors,San Antonio Spurs,100,129,0
3,Orlando Magic,Miami Heat,96,108,0
4,Indiana Pacers,Dallas Mavericks,130,121,1
5,Boston Celtics,Brooklyn Nets,122,117,0
6,Toronto Raptors,Detroit Pistons,109,91,0
7,Milwaukee Bucks,Charlotte Hornets,96,107,0
8,Memphis Grizzlies,Minnesota Timberwolves,102,98,0
9,New Orleans Pelicans,Denver Nuggets,102,107,0
10,Philadelphia Sixers,Oklahoma City Thunder,97,103,0
11,Phoenix Suns,Sacramento Kings,94,113,0
12,Los Angeles Lakers,Houston Rockets,120,114,0
13,Atlanta Hawks,Washington Wizards,114,99,0
14,Chicago Bulls,Boston Celtics,105,99,0
15,Sacramento Kings,San Antonio Spurs,94,102,0
16,Portland Trail Blazers,Los Angeles Clippers,106,114,0
17,Toronto Raptors,Cleveland Cavaliers,91,94,0
18,Brooklyn Nets,Indiana Pacers,103,94,0
19,Detroit Pistons,Orlando Magic,108,82,0
20,Oklahoma City Thunder,Phoenix Suns,113,110,1
21,Miami Heat,Charlotte Hornets,91,97,0
22,Dallas Mavericks,Houston Rockets,98,106,0
23,Utah Jazz,Los Angeles Lakers,96,89,0
24,New Orleans Pelicans,Golden State Warriors,114,122,0
25,Philadelphia Sixers,Atlanta Hawks,72,104,0
26,Charlotte Hornets,Boston Celtics,98,104,0
27,New York Knicks,Memphis Grizzlies,111,104,0
28,Cleveland Cavaliers,Orlando Magic,105,99,0
29,Chicago Bulls,Indiana Pacers,118,101,0
30,Milwaukee Bucks,Brooklyn Nets,110,108,0
31,San Antonio Spurs,New Orleans Pelicans,98,79,0
32,Denver Nuggets,Portland Trail Blazers,113,115,1
33,Sacramento Kings,Minnesota Timberwolves,106,103,0
34,Los Angeles Clippers,Utah Jazz,88,75,0
35,Phoenix Suns,Golden State Warriors,100,106,0
36,Miami Heat,San Antonio Spurs,99,106,0
37,Detroit Pistons,Milwaukee Bucks,98,83,0
38,Oklahoma City Thunder,Los Angeles Lakers,113,96,0
39,Memphis Grizzlies,Washington Wizards,112,103,1
40,Houston Rockets,Dallas Mavericks,93,92,0
41,Toronto Raptors,Denver Nuggets,105,102,0
42,Brooklyn Nets,Chicago Bulls,88,118,0
43,Atlanta Hawks,Sacramento Kings,106,95,0
44,Los Angeles Clippers,Phoenix Suns,116,98,0
45,Philadelphia Sixers,Orlando Magic,101,103,0
46,Cleveland Cavaliers,Houston Rockets,128,120,0
47,Indiana Pacers,Los Angeles Lakers,115,108,0
48,Miami Heat,Sacramento Kings,108,96,1
49,Detroit Pistons,New York Knicks,102,89,0
50,New Orleans Pelicans,Milwaukee Bucks,113,117,0
51,Minnesota Timberwolves,Memphis Grizzlies,116,80,0
52,San Antonio Spurs,Utah Jazz,91,106,0
53,Portland Trail Blazers,Golden State Warriors,104,127,0
54,Washington Wizards,Toronto Raptors,103,113,0
55,Charlotte Hornets,Philadelphia Sixers,109,93,0
56,Brooklyn Nets,Detroit Pistons,109,101,0
57,New York Knicks,Houston Rockets,99,118,0
58,Atlanta Hawks,Los Angeles Lakers,116,123,0
59,Memphis Grizzlies,New Orleans Pelicans,89,83,1
60,Boston Celtics,Chicago Bulls,107,100,0
61,Utah Jazz,Dallas Mavericks,97,81,0
62,Phoenix Suns,Portland Trail Blazers,118,115,1
63,Los Angeles Clippers,Oklahoma City Thunder,83,85,0
64,Orlando Magic,Sacramento Kings,102,94,0
65,Milwaukee Bucks,Indiana Pacers,125,107,0
66,Minnesota Timberwolves,Denver Nuggets,99,102,0
67,Cleveland Cavaliers,Boston Celtics,128,122,0
68,Golden State Warriors,Oklahoma City Thunder,122,96,0
69,Washington Wizards,Atlanta Hawks,95,92,0
70,Toronto Raptors,Miami Heat,96,87,0
71,Brooklyn Nets,Charlotte Hornets,95,99,0
72,Chicago Bulls,New York Knicks,104,117,0
73,Memphis Grizzlies,Los Angeles Clippers,88,99,0
74,New Orleans Pelicans,Phoenix Suns,111,112,1
75,Dallas Mavericks,Portland Trail Blazers,95,105,0
76,Utah Jazz,San Antonio Spurs,86,100,0
77,Los Angeles Lakers,Golden State Warriors,117,97,0
78,Oklahoma City Thunder,Minnesota Timberwolves,112,92,0
79,Philadelphia Sixers,Cleveland Cavaliers,101,102,0
80,Orlando Magic,Washington Wizards,88,86,0
81,Detroit Pistons,Denver Nuggets,103,86,0
82,Indiana Pacers,Chicago Bulls,111,94,0
83,Atlanta Hawks,Houston Rockets,112,97,0
84,Milwaukee Bucks,Sacramento Kings,117,91,0
85,San Antonio Spurs,Los Angeles Clippers,92,116,0
86,New York Knicks,Utah Jazz,109,114,0
87,Memphis Grizzlies,Portland Trail Blazers,94,100,0
88,Toronto Raptors,Sacramento Kings,91,96,0
89,Dallas Mavericks,Milwaukee Bucks,86,75,1
90,Boston Celtics,Denver Nuggets,107,123,0
91,Los Angeles Lakers,Phoenix Suns,119,108,0
92,Philadelphia Sixers,Utah Jazz,84,109,0
93,Washington Wizards,Houston Rockets,106,114,0
94,Charlotte Hornets,Indiana Pacers,122,100,0
95,Chicago Bulls,Orlando Magic,112,80,0
96,Oklahoma City Thunder,Miami Heat,97,85,0
97,Los Angeles Clippers,Detroit Pistons,114,82,0
98,Golden State Warriors,New Orleans Pelicans,116,106,0
99,Cleveland Cavaliers,Atlanta Hawks,106,110,0
100,Brooklyn Nets,Minnesota Timberwolves,119,110,0
101,Memphis Grizzlies,Denver Nuggets,108,107,0
102,Portland Trail Blazers,Phoenix Suns,124,121,0
103,Los Angeles Lakers,Dallas Mavericks,97,109,0
104,Sacramento Kings,New Orleans Pelicans,102,94,0
105,New York Knicks,Brooklyn Nets,110,96,0
106,Washington Wizards,Boston Celtics,118,93,0
107,Charlotte Hornets,Utah Jazz,104,98,0
108,Orlando Magic,Minnesota Timberwolves,107,123,0
109,Indiana Pacers,Philadelphia Sixers,122,115,1
110,Atlanta Hawks,Chicago Bulls,115,107,0
111,Oklahoma City Thunder,Toronto Raptors,102,112,0
112,Phoenix Suns,Detroit Pistons,107,100,0
113,San Antonio Spurs,Houston Rockets,99,101,0
114,Los Angeles Clippers,Portland Trail Blazers,111,80,0
115,Golden State Warriors,Dallas Mavericks,116,95,0
116,Milwaukee Bucks,New Orleans Pelicans,106,112,0
117,Miami Heat,Chicago Bulls,95,98,0
118,Denver Nuggets,Golden State Warriors,101,125,0
119,Sacramento Kings,Los Angeles Lakers,91,101,0
120,Philadelphia Sixers,Indiana Pacers,109,105,1
121,Washington Wizards,Cleveland Cavaliers,94,105,0
122,Charlotte Hornets,Toronto Raptors,111,113,0
123,Orlando Magic,Utah Jazz,74,87,0
124,Boston Celtics,New York Knicks,115,87,0
125,Oklahoma City Thunder,Los Angeles Clippers,108,110,0
126,San Antonio Spurs,Detroit Pistons,96,86,0
127,Portland Trail Blazers,Sacramento Kings,122,120,1
128,New Orleans Pelicans,Los Angeles Lakers,99,126,0
129,Indiana Pacers,Boston Celtics,99,105,0
130,Toronto Raptors,New York Knicks,118,107,0
131,Atlanta Hawks,Philadelphia Sixers,117,96,0
132,Chicago Bulls,Washington Wizards,106,95,0
133,Houston Rockets,San Antonio Spurs,100,106,0
134,Minnesota Timberwolves,Los Angeles Clippers,105,119,0
135,Miami Heat,Utah Jazz,91,102,0
136,Milwaukee Bucks,Memphis Grizzlies,106,96,0
137,Denver Nuggets,Detroit Pistons,95,106,0
138,Phoenix Suns,Brooklyn Nets,104,122,0
139,Cleveland Cavaliers,Charlotte Hornets,100,93,0
140,Oklahoma City Thunder,Orlando Magic,117,119,0
141,Minnesota Timberwolves,Los Angeles Lakers,125,99,0
142,Golden State Warriors,Phoenix Suns,133,120,0
143,Portland Trail Blazers,Denver Nuggets,112,105,0
144,Indiana Pacers,Orlando Magic,88,69,0
145,New York Knicks,Dallas Mavericks,93,77,0
146,Detroit Pistons,Oklahoma City Thunder,104,88,0
147,New Orleans Pelicans,Boston Celtics,106,105,0
148,Houston Rockets,Philadelphia Sixers,115,88,0
149,San Antonio Spurs,Miami Heat,94,90,0
