,homeTeam,awayTeam,homeScore,awayScore,OT
0,New Orleans Pelicans,Orlando Magic,101,84,0
1,San Antonio Spurs,Dallas Mavericks,101,100,0
2,Los Angeles Lakers,Houston Rockets,90,108,0
3,Charlotte Hornets,Milwaukee Bucks,108,106,1
4,Indiana Pacers,Philadelphia Sixers,103,91,0
5,Boston Celtics,Brooklyn Nets,121,105,0
6,Miami Heat,Washington Wizards,107,95,0
7,Toronto Raptors,Atlanta Hawks,109,102,0
8,Memphis Grizzlies,Minnesota Timberwolves,105,101,0
9,New York Knicks,Chicago Bulls,80,104,0
10,Denver Nuggets,Detroit Pistons,89,79,0
11,Utah Jazz,Houston Rockets,93,104,0
12,Phoenix Suns,Los Angeles Lakers,119,99,0
13,Sacramento Kings,Golden State Warriors,77,95,0
14,Portland Trail Blazers,Oklahoma City Thunder,106,89,0
15,Orlando Magic,Washington Wizards,98,105,0
16,Minnesota Timberwolves,Detroit Pistons,97,91,0
17,Cleveland Cavaliers,New York Knicks,90,95,0
18,Dallas Mavericks,Utah Jazz,120,102,0
19,Los Angeles Clippers,Oklahoma City Thunder,93,90,0
20,Indiana Pacers,Memphis Grizzlies,89,97,0
21,Chicago Bulls,Cleveland Cavaliers,108,114,1
22,Milwaukee Bucks,Philadelphia Sixers,93,81,0
23,Phoenix Suns,San Antonio Spurs,94,89,0
24,Sacramento Kings,Portland Trail Blazers,103,94,0
25,Los Angeles Clippers,Los Angeles Lakers,118,111,0
26,New Orleans Pelicans,Dallas Mavericks,104,109,0
27,Charlotte Hornets,Memphis Grizzlies,69,71,0
28,Orlando Magic,Toronto Raptors,95,108,0
29,Philadelphia Sixers,Miami Heat,96,114,0
30,Washington Wizards,Milwaukee Bucks,108,97,0
31,Atlanta Hawks,Indiana Pacers,102,92,0
32,Detroit Pistons,Brooklyn Nets,90,102,0
33,Houston Rockets,Boston Celtics,104,90,0
34,Minnesota Timberwolves,Chicago Bulls,105,106,0
35,Oklahoma City Thunder,Denver Nuggets,102,91,0
36,Utah Jazz,Phoenix Suns,118,91,0
37,Golden State Warriors,Los Angeles Lakers,127,104,0
38,Los Angeles Clippers,Sacramento Kings,92,98,0
39,Miami Heat,Toronto Raptors,107,102,0
40,New York Knicks,Charlotte Hornets,96,93,0
41,Portland Trail Blazers,Golden State Warriors,90,95,0
42,Philadelphia Sixers,Houston Rockets,93,104,0
43,Brooklyn Nets,Oklahoma City Thunder,116,85,0
44,Memphis Grizzlies,New Orleans Pelicans,93,81,0
45,Dallas Mavericks,Boston Celtics,118,113,0
46,Denver Nuggets,Sacramento Kings,105,110,0
47,Los Angeles Clippers,Utah Jazz,107,101,0
48,Indiana Pacers,Milwaukee Bucks,81,87,0
49,Miami Heat,Houston Rockets,91,108,0
50,New York Knicks,Washington Wizards,83,98,0
51,Toronto Raptors,Oklahoma City Thunder,100,88,0
52,Chicago Bulls,Orlando Magic,98,90,0
53,New Orleans Pelicans,Charlotte Hornets,100,91,0
54,Portland Trail Blazers,Cleveland Cavaliers,101,82,0
55,Los Angeles Lakers,Phoenix Suns,106,112,0
56,Charlotte Hornets,Miami Heat,96,89,0
57,Philadelphia Sixers,Orlando Magic,89,91,0
58,Boston Celtics,Toronto Raptors,107,110,0
59,Brooklyn Nets,Minnesota Timberwolves,91,98,0
60,Detroit Pistons,New York Knicks,98,95,0
61,Milwaukee Bucks,Chicago Bulls,86,95,0
62,Washington Wizards,Indiana Pacers,96,94,1
63,San Antonio Spurs,Atlanta Hawks,94,92,0
64,Phoenix Suns,Memphis Grizzlies,91,102,0
65,Utah Jazz,Cleveland Cavaliers,102,100,0
66,Sacramento Kings,Denver Nuggets,131,109,0
67,Golden State Warriors,Los Angeles Clippers,121,104,0
68,Houston Rockets,San Antonio Spurs,98,81,0
69,Portland Trail Blazers,Dallas Mavericks,108,87,0
70,Oklahoma City Thunder,Memphis Grizzlies,89,91,0
71,Phoenix Suns,Sacramento Kings,112,114,1
72,Utah Jazz,Dallas Mavericks,82,105,0
73,Denver Nuggets,Cleveland Cavaliers,101,110,0
74,Charlotte Hornets,Atlanta Hawks,122,119,1
75,Orlando Magic,Minnesota Timberwolves,112,103,1
76,Philadelphia Sixers,Chicago Bulls,115,118,0
77,Boston Celtics,Indiana Pacers,101,98,0
78,Brooklyn Nets,New York Knicks,110,99,0
79,Detroit Pistons,Milwaukee Bucks,98,95,0
80,Toronto Raptors,Washington Wizards,103,84,0
81,Los Angeles Clippers,Portland Trail Blazers,106,102,0
82,Indiana Pacers,Washington Wizards,90,97,0
83,Atlanta Hawks,New York Knicks,103,96,0
84,Miami Heat,Minnesota Timberwolves,102,92,0
85,Chicago Bulls,Boston Celtics,101,106,0
86,Houston Rockets,Golden State Warriors,87,98,0
