,homeTeam,awayTeam,homeScore,awayScore,OT
0,Boston Celtics,Cleveland Cavaliers,90,85,0
1,Chicago Bulls,Milwaukee Bucks,108,95,0
2,Los Angeles Lakers,Portland Trail Blazers,96,76,0
3,Detroit Pistons,Indiana Pacers,100,94,0
4,Golden State Warriors,New Orleans Hornets,103,108,0
5,Houston Rockets,Memphis Grizzlies,82,71,0
6,Los Angeles Lakers,Los Angeles Clippers,117,79,0
7,Minnesota Timberwolves,Sacramento Kings,98,96,0
8,New York Knicks,Miami Heat,120,115,0
9,Oklahoma City Thunder,Milwaukee Bucks,87,98,0
10,Orlando Magic,Atlanta Hawks,85,99,0
11,Philadelphia Sixers,Toronto Raptors,84,95,0
12,San Antonio Spurs,Phoenix Suns,98,103,0
13,Utah Jazz,Denver Nuggets,98,94,0
14,Washington Wizards,New Jersey Nets,85,95,0
15,Cleveland Cavaliers,Charlotte Bobcats,96,79,0
16,Dallas Mavericks,Houston Rockets,102,112,0
17,Phoenix Suns,New Orleans Hornets,95,108,0
18,Boston Celtics,Chicago Bulls,96,80,0
19,Los Angeles Clippers,Denver Nuggets,103,113,1
20,Memphis Grizzlies,Orlando Magic,86,84,0
21,Miami Heat,Sacramento Kings,103,77,0
22,Philadelphia Sixers,New York Knicks,116,87,0
23,Portland Trail Blazers,San Antonio Spurs,100,99,0
24,Toronto Raptors,Golden State Warriors,112,108,1
25,Atlanta Hawks,Philadelphia Sixers,95,88,0
26,Charlotte Bobcats,Miami Heat,100,87,0
27,Chicago Bulls,Memphis Grizzlies,96,86,0
28,Denver Nuggets,Los Angeles Lakers,97,104,0
29,Detroit Pistons,Washington Wizards,117,109,0
30,Houston Rockets,Oklahoma City Thunder,89,77,0
31,Indiana Pacers,Boston Celtics,95,79,0
32,Milwaukee Bucks,Toronto Raptors,87,91,0
33,Minnesota Timberwolves,Dallas Mavericks,85,95,0
34,New Jersey Nets,Golden State Warriors,97,105,0
35,New Orleans Hornets,Cleveland Cavaliers,104,92,0
36,Orlando Magic,Sacramento Kings,121,103,0
37,Phoenix Suns,Portland Trail Blazers,107,96,0
38,Utah Jazz,Los Angeles Clippers,101,79,0
39,New York Knicks,Milwaukee Bucks,86,94,0
40,Oklahoma City Thunder,Minnesota Timberwolves,88,85,0
41,Charlotte Bobcats,Detroit Pistons,83,101,0
42,Dallas Mavericks,Cleveland Cavaliers,81,100,0
43,Los Angeles Clippers,Utah Jazz,73,89,0
44,Memphis Grizzlies,Golden State Warriors,90,79,0
45,Orlando Magic,Chicago Bulls,96,93,0
46,Philadelphia Sixers,Sacramento Kings,125,91,0
47,Houston Rockets,Boston Celtics,99,103,0
48,New Jersey Nets,Phoenix Suns,86,114,0
49,San Antonio Spurs,Dallas Mavericks,81,98,0
50,Cleveland Cavaliers,Chicago Bulls,107,93,0
51,Golden State Warriors,Denver Nuggets,111,101,0
52,Indiana Pacers,Phoenix Suns,103,113,0
53,Los Angeles Lakers,Los Angeles Clippers,106,88,0
54,Miami Heat,Philadelphia Sixers,106,83,0
55,Milwaukee Bucks,Washington Wizards,112,104,1
56,Minnesota Timberwolves,San Antonio Spurs,125,129,1
57,New Orleans Hornets,Atlanta Hawks,79,87,0
58,New York Knicks,Charlotte Bobcats,101,98,0
59,Oklahoma City Thunder,Boston Celtics,83,96,0
60,Sacramento Kings,Memphis Grizzlies,100,95,0
61,Toronto Raptors,Detroit Pistons,93,100,0
62,Utah Jazz,Portland Trail Blazers,103,96,0
63,Orlando Magic,Philadelphia Sixers,98,88,0
64,Portland Trail Blazers,Houston Rockets,101,99,1
65,Atlanta Hawks,Toronto Raptors,110,92,0
66,Boston Celtics,Milwaukee Bucks,101,89,0
67,Charlotte Bobcats,New Orleans Hornets,92,89,0
68,Chicago Bulls,Phoenix Suns,100,83,0
69,Cleveland Cavaliers,Indiana Pacers,111,107,0
70,Denver Nuggets,Dallas Mavericks,108,105,0
71,Golden State Warriors,Memphis Grizzlies,104,109,0
72,Los Angeles Clippers,Houston Rockets,83,92,0
73,New Jersey Nets,Detroit Pistons,103,96,0
74,Sacramento Kings,Minnesota Timberwolves,121,109,0
75,San Antonio Spurs,Miami Heat,83,99,0
76,Utah Jazz,Oklahoma City Thunder,104,97,0
77,Washington Wizards,New York Knicks,108,114,0
78,Chicago Bulls,Cleveland Cavaliers,97,106,0
79,Indiana Pacers,New Jersey Nets,98,80,0
80,Milwaukee Bucks,Phoenix Suns,96,104,0
81,New Orleans Hornets,Miami Heat,100,89,0
82,Orlando Magic,Washington Wizards,106,81,0
83,Portland Trail Blazers,Minnesota Timberwolves,97,93,0
84,Charlotte Bobcats,Toronto Raptors,79,89,0
85,Denver Nuggets,Memphis Grizzlies,100,90,0
86,Detroit Pistons,Boston Celtics,76,88,0
87,Los Angeles Clippers,Dallas Mavericks,103,92,0
88,Los Angeles Lakers,Houston Rockets,111,82,0
89,New York Knicks,Utah Jazz,107,99,0
90,Oklahoma City Thunder,Atlanta Hawks,85,89,0
91,Sacramento Kings,Golden State Warriors,115,98,0
92,Boston Celtics,Toronto Raptors,94,87,0
93,Indiana Pacers,Oklahoma City Thunder,107,99,0
94,Miami Heat,New Jersey Nets,99,94,0
95,Orlando Magic,Portland Trail Blazers,99,106,0
96,Phoenix Suns,Memphis Grizzlies,107,102,0
97,Charlotte Bobcats,Denver Nuggets,80,88,0
98,Chicago Bulls,Atlanta Hawks,108,113,0
99,Cleveland Cavaliers,Milwaukee Bucks,99,93,0
100,Dallas Mavericks,Los Angeles Lakers,99,106,0
101,Golden State Warriors,Minnesota Timberwolves,113,110,1
102,Philadelphia Sixers,Utah Jazz,80,93,0
103,Sacramento Kings,Detroit Pistons,92,100,0
104,San Antonio Spurs,New York Knicks,92,80,0
105,Boston Celtics,Atlanta Hawks,103,102,0
106,Los Angeles Clippers,Sacramento Kings,98,103,0
107,Memphis Grizzlies,New York Knicks,103,132,0
108,Miami Heat,Portland Trail Blazers,96,104,0
109,Milwaukee Bucks,San Antonio Spurs,82,78,0
110,New Jersey Nets,Indiana Pacers,87,98,0
111,New Orleans Hornets,Los Angeles Lakers,86,93,0
112,Oklahoma City Thunder,Orlando Magic,92,109,0
113,Phoenix Suns,Houston Rockets,82,94,0
114,Toronto Raptors,Philadelphia Sixers,96,106,0
115,Washington Wizards,Utah Jazz,95,87,0
116,Chicago Bulls,Dallas Mavericks,98,91,0
117,Cleveland Cavaliers,Denver Nuggets,110,99,0
118,Golden State Warriors,Detroit Pistons,102,107,0
119,Los Angeles Lakers,Detroit Pistons,95,106,0
120,Memphis Grizzlies,Milwaukee Bucks,96,101,1
121,Miami Heat,Washington Wizards,97,77,0
122,New Jersey Nets,Atlanta Hawks,115,108,0
123,New Orleans Hornets,Portland Trail Blazers,87,82,0
124,New York Knicks,Oklahoma City Thunder,116,106,0
125,Sacramento Kings,Phoenix Suns,95,97,1
126,San Antonio Spurs,Houston Rockets,77,75,0
127,Boston Celtics,Denver Nuggets,85,94,0
128,Charlotte Bobcats,Utah Jazz,104,96,0
129,Dallas Mavericks,Orlando Magic,100,102,0
130,Indiana Pacers,Philadelphia Sixers,92,94,0
131,Atlanta Hawks,New Jersey Nets,107,119,0
132,Chicago Bulls,Indiana Pacers,104,91,0
133,Cleveland Cavaliers,Utah Jazz,105,93,0
134,Houston Rockets,New Orleans Hornets,91,82,0
135,Los Angeles Clippers,Golden State Warriors,103,121,0
136,Milwaukee Bucks,Boston Celtics,97,102,1
137,Minnesota Timberwolves,Portland Trail Blazers,83,88,0
138,Philadelphia Sixers,Oklahoma City Thunder,110,85,0
139,Charlotte Bobcats,Orlando Magic,85,90,0
140,Denver Nuggets,Minnesota Timberwolves,90,84,0
141,New York Knicks,Dallas Mavericks,114,124,1
142,Phoenix Suns,Detroit Pistons,104,86,0
143,Sacramento Kings,San Antonio Spurs,88,90,0
144,Toronto Raptors,Miami Heat,107,96,0
145,Los Angeles Clippers,San Antonio Spurs,83,86,0
146,Oklahoma City Thunder,Houston Rockets,89,100,0
147,Utah Jazz,Phoenix Suns,109,97,0
148,Boston Celtics,New York Knicks,110,101,0
149,Charlotte Bobcats,Dallas Mavericks,83,100,0
150,Denver Nuggets,Milwaukee Bucks,114,105,0
151,Golden State Warriors,Portland Trail Blazers,111,106,0
152,Indiana Pacers,Atlanta Hawks,113,96,0
153,Los Angeles Lakers,Chicago Bulls,116,109,0
154,Memphis Grizzlies,Sacramento Kings,109,94,0
155,New Jersey Nets,Cleveland Cavaliers,82,106,0
156,Orlando Magic,Toronto Raptors,103,90,0
157,Washington Wizards,Miami Heat,87,94,0
158,Atlanta Hawks,Washington Wizards,91,87,0
159,Detroit Pistons,Cleveland Cavaliers,96,89,0
160,Houston Rockets,Dallas Mavericks,86,96,0
161,Miami Heat,Toronto Raptors,95,101,0
162,Minnesota Timberwolves,Philadelphia Sixers,102,96,0
163,New Orleans Hornets,Sacramento Kings,96,105,0
164,Oklahoma City Thunder,Los Angeles Clippers,88,108,0
165,Portland Trail Blazers,Chicago Bulls,116,74,0
166,San Antonio Spurs,Denver Nuggets,81,91,0
167,Utah Jazz,Milwaukee Bucks,105,94,0
168,Boston Celtics,Detroit Pistons,98,80,0
169,Phoenix Suns,Los Angeles Lakers,92,105,0
170,Atlanta Hawks,Charlotte Bobcats,88,83,0
171,Dallas Mavericks,Memphis Grizzlies,91,76,0
172,Golden State Warriors,Chicago Bulls,110,115,0
173,Indiana Pacers,Orlando Magic,98,100,1
174,Los Angeles Lakers,Denver Nuggets,104,90,0
175,Milwaukee Bucks,New York Knicks,104,87,0
176,Minnesota Timberwolves,Boston Celtics,78,95,0
177,Oklahoma City Thunder,New Orleans Hornets,80,105,0
178,Philadelphia Sixers,Los Angeles Clippers,89,88,0
179,Sacramento Kings,Portland Trail Blazers,96,117,0
180,San Antonio Spurs,Utah Jazz,119,94,0
181,Toronto Raptors,New Jersey Nets,127,129,1
182,Washington Wizards,Houston Rockets,91,103,0
183,Charlotte Bobcats,Milwaukee Bucks,74,79,0
184,Cleveland Cavaliers,Atlanta Hawks,110,96,0
185,Memphis Grizzlies,Utah Jazz,94,103,0
186,Miami Heat,Indiana Pacers,109,100,0
187,New Jersey Nets,Los Angeles Clippers,112,95,0
188,New Orleans Hornets,Oklahoma City Thunder,109,97,0
189,New York Knicks,Washington Wizards,122,117,0
190,Orlando Magic,Houston Rockets,95,100,0
191,Phoenix Suns,Portland Trail Blazers,102,92,0
192,Denver Nuggets,Chicago Bulls,114,101,0
193,Detroit Pistons,Minnesota Timberwolves,80,106,0
194,Los Angeles Lakers,Sacramento Kings,118,108,0
195,Philadelphia Sixers,Golden State Warriors,89,81,0
196,Toronto Raptors,Boston Celtics,103,118,0
197,Charlotte Bobcats,Philadelphia Sixers,93,84,0
198,Los Angeles Clippers,New Orleans Hornets,87,99,0
199,Memphis Grizzlies,San Antonio Spurs,81,94,0
200,Miami Heat,Houston Rockets,98,107,0
201,Orlando Magic,Milwaukee Bucks,108,101,0
202,Portland Trail Blazers,Sacramento Kings,91,90,0
203,Utah Jazz,Chicago Bulls,100,101,0
204,Dallas Mavericks,Indiana Pacers,109,106,0
205,Los Angeles Lakers,New Jersey Nets,120,93,0
206,New York Knicks,Cleveland Cavaliers,101,119,0
207,Oklahoma City Thunder,Phoenix Suns,98,99,0
208,Washington Wizards,Golden State Warriors,124,100,0
209,Atlanta Hawks,Milwaukee Bucks,102,96,0
210,Boston Celtics,Golden State Warriors,119,111,0
211,Cleveland Cavaliers,Oklahoma City Thunder,117,82,0
212,Detroit Pistons,New York Knicks,110,96,0
213,Houston Rockets,Indiana Pacers,90,91,0
214,Los Angeles Clippers,Denver Nuggets,105,106,0
215,Minnesota Timberwolves,Phoenix Suns,102,110,0
216,Philadelphia Sixers,Orlando Magic,94,96,0
217,Portland Trail Blazers,Miami Heat,106,68,0
218,Sacramento Kings,New Jersey Nets,114,116,1
219,San Antonio Spurs,Chicago Bulls,98,88,0
220,Toronto Raptors,Charlotte Bobcats,93,86,0
221,Utah Jazz,Memphis Grizzlies,117,100,0
222,Denver Nuggets,New Orleans Hornets,101,105,0
223,Washington Wizards,Orlando Magic,90,105,0
224,Boston Celtics,Philadelphia Sixers,102,78,0
225,Cleveland Cavaliers,Golden State Warriors,112,97,0
226,Detroit Pistons,Milwaukee Bucks,107,97,0
227,Indiana Pacers,Charlotte Bobcats,108,115,1
228,Los Angeles Lakers,Dallas Mavericks,114,107,0
229,Oklahoma City Thunder,Minnesota Timberwolves,103,105,0
230,Phoenix Suns,Miami Heat,92,107,0
231,Portland Trail Blazers,New Orleans Hornets,101,86,0
232,San Antonio Spurs,Memphis Grizzlies,109,98,0
233,Toronto Raptors,Atlanta Hawks,93,88,0
234,Utah Jazz,Sacramento Kings,120,94,0
235,Charlotte Bobcats,Boston Celtics,84,89,0
236,Houston Rockets,San Antonio Spurs,103,84,0
237,Los Angeles Clippers,Miami Heat,97,96,0
238,Memphis Grizzlies,Oklahoma City Thunder,103,111,0
239,Milwaukee Bucks,Cleveland Cavaliers,85,97,0
240,Minnesota Timberwolves,Denver Nuggets,97,106,0
241,New York Knicks,Golden State Warriors,138,125,0
242,Orlando Magic,Indiana Pacers,110,96,0
243,Sacramento Kings,Dallas Mavericks,78,101,0
244,Utah Jazz,New Jersey Nets,88,105,0
245,Washington Wizards,Atlanta Hawks,98,102,0
246,Denver Nuggets,Houston Rockets,104,94,0
247,Detroit Pistons,Portland Trail Blazers,85,96,0
248,Los Angeles Lakers,Toronto Raptors,112,99,0
249,Philadelphia Sixers,Chicago Bulls,92,103,0
250,Phoenix Suns,New Jersey Nets,109,117,0
251,Boston Celtics,Orlando Magic,107,88,0
252,Charlotte Bobcats,Minnesota Timberwolves,100,90,0
253,Golden State Warriors,Miami Heat,129,130,1
254,Chicago Bulls,Philadelphia Sixers,95,103,1
255,Dallas Mavericks,Los Angeles Clippers,100,98,0
256,Denver Nuggets,Toronto Raptors,132,93,0
257,Indiana Pacers,Los Angeles Lakers,118,117,0
258,New Jersey Nets,Washington Wizards,88,108,0
259,New York Knicks,Portland Trail Blazers,97,104,0
260,Sacramento Kings,Utah Jazz,94,99,0
261,San Antonio Spurs,Detroit Pistons,77,89,0
262,Atlanta Hawks,Memphis Grizzlies,105,95,0
263,Boston Celtics,Indiana Pacers,114,96,0
264,Charlotte Bobcats,Oklahoma City Thunder,103,97,0
265,Cleveland Cavaliers,New York Knicks,118,82,0
266,Houston Rockets,Los Angeles Clippers,103,96,0
267,Milwaukee Bucks,Chicago Bulls,97,90,0
268,New Orleans Hornets,Phoenix Suns,104,91,0
269,Orlando Magic,Minnesota Timberwolves,100,89,0
270,Philadelphia Sixers,Los Angeles Lakers,102,114,0
271,Utah Jazz,Miami Heat,89,93,0
272,Washington Wizards,Portland Trail Blazers,92,98,0
273,Dallas Mavericks,Phoenix Suns,112,97,0
274,Denver Nuggets,San Antonio Spurs,91,108,0
275,Atlanta Hawks,New York Knicks,98,95,0
276,Boston Celtics,Portland Trail Blazers,93,78,0
277,Cleveland Cavaliers,Indiana Pacers,97,73,0
278,Detroit Pistons,Philadelphia Sixers,91,96,0
279,Houston Rockets,Golden State Warriors,131,112,0
280,Memphis Grizzlies,Los Angeles Clippers,93,81,0
281,Milwaukee Bucks,Charlotte Bobcats,101,96,0
282,New Jersey Nets,Minnesota Timberwolves,113,84,0
283,Orlando Magic,Oklahoma City Thunder,98,89,0
284,Utah Jazz,Toronto Raptors,114,87,0
285,Washington Wizards,Los Angeles Lakers,104,106,0
286,Charlotte Bobcats,Cleveland Cavaliers,74,94,0
287,Chicago Bulls,Washington Wizards,117,110,0
288,Dallas Mavericks,Atlanta Hawks,100,98,0
289,Miami Heat,Oklahoma City Thunder,105,99,0
290,Minnesota Timberwolves,Los Angeles Clippers,84,107,0
291,New Orleans Hornets,Memphis Grizzlies,106,87,0
292,Philadelphia Sixers,New Jersey Nets,84,95,0
293,Phoenix Suns,Utah Jazz,106,104,0
294,Sacramento Kings,Denver Nuggets,85,118,0
295,San Antonio Spurs,Golden State Warriors,123,88,0
296,Indiana Pacers,Boston Celtics,117,122,1
297,Los Angeles Lakers,Milwaukee Bucks,105,92,0
298,New York Knicks,Detroit Pistons,104,92,0
299,Toronto Raptors,Portland Trail Blazers,97,98,0
300,Los Angeles Clippers,Orlando Magic,88,95,0
301,Memphis Grizzlies,Houston Rockets,109,97,0
302,Miami Heat,Charlotte Bobcats,100,96,0
303,Oklahoma City Thunder,Golden State Warriors,102,112,0
304,Chicago Bulls,New York Knicks,105,100,0
305,Cleveland Cavaliers,Toronto Raptors,114,94,0
306,Dallas Mavericks,San Antonio Spurs,126,133,1
307,Houston Rockets,Atlanta Hawks,92,84,0
308,Minnesota Timberwolves,Utah Jazz,96,99,0
309,Phoenix Suns,Milwaukee Bucks,125,110,0
310,Portland Trail Blazers,Orlando Magic,108,109,0
311,Sacramento Kings,Los Angeles Lakers,113,101,0
312,Washington Wizards,Detroit Pistons,107,94,0
313,Denver Nuggets,Minnesota Timberwolves,116,105,0
314,Golden State Warriors,Milwaukee Bucks,119,96,0
315,Los Angeles Lakers,Phoenix Suns,115,110,0
316,New Jersey Nets,New York Knicks,109,121,0
317,New Orleans Hornets,Charlotte Bobcats,105,89,0
318,Oklahoma City Thunder,Memphis Grizzlies,102,108,0
319,Philadelphia Sixers,Cleveland Cavaliers,93,101,0
320,San Antonio Spurs,Atlanta Hawks,95,89,0
321,Toronto Raptors,Indiana Pacers,101,88,0
322,Dallas Mavericks,Charlotte Bobcats,95,90,0
323,Utah Jazz,Portland Trail Blazers,97,88,0
324,Washington Wizards,Boston Celtics,88,122,0
325,Boston Celtics,New Orleans Hornets,94,82,0
326,Cleveland Cavaliers,Philadelphia Sixers,88,72,0
327,Detroit Pistons,Indiana Pacers,114,110,0
328,Golden State Warriors,Houston Rockets,108,119,0
329,Los Angeles Lakers,Sacramento Kings,112,103,0
330,Memphis Grizzlies,Chicago Bulls,103,96,0
331,Miami Heat,Atlanta Hawks,73,87,0
332,Minnesota Timberwolves,San Antonio Spurs,86,98,0
333,New Jersey Nets,Toronto Raptors,79,101,0
334,Phoenix Suns,Orlando Magic,113,112,0
335,Portland Trail Blazers,Los Angeles Clippers,112,120,1
336,Atlanta Hawks,Cleveland Cavaliers,97,92,0
337,Charlotte Bobcats,Detroit Pistons,86,90,0
338,Chicago Bulls,New Jersey Nets,113,104,0
339,Dallas Mavericks,Oklahoma City Thunder,103,99,0
340,Denver Nuggets,Golden State Warriors,123,105,0
341,Los Angeles Clippers,Houston Rockets,95,82,0
342,Milwaukee Bucks,Indiana Pacers,121,103,0
343,Philadelphia Sixers,Washington Wizards,104,89,0
344,Sacramento Kings,New York Knicks,90,114,0
345,Utah Jazz,Orlando Magic,94,103,0
346,Los Angeles Lakers,Minnesota Timberwolves,98,86,0
347,Memphis Grizzlies,Miami Heat,102,86,0
348,San Antonio Spurs,Oklahoma City Thunder,109,104,0
349,Toronto Raptors,New Orleans Hornets,91,99,0
350,Atlanta Hawks,Charlotte Bobcats,83,79,0
351,Boston Celtics,Utah Jazz,100,91,0
352,Dallas Mavericks,Denver Nuggets,88,98,0
353,Golden State Warriors,Orlando Magic,98,109,0
354,Miami Heat,Milwaukee Bucks,83,98,0
355,Phoenix Suns,New York Knicks,111,103,0
356,Sacramento Kings,Minnesota Timberwolves,118,103,0
357,Toronto Raptors,New Jersey Nets,87,94,0
358,Washington Wizards,Indiana Pacers,98,118,0
359,Charlotte Bobcats,Chicago Bulls,110,101,1
360,Houston Rockets,Denver Nuggets,108,96,0
361,Los Angeles Lakers,New York Knicks,116,114,0
362,Memphis Grizzlies,New Orleans Hornets,84,91,0
363,Oklahoma City Thunder,Los Angeles Clippers,88,98,0
364,Portland Trail Blazers,Sacramento Kings,109,77,0
365,Atlanta Hawks,Boston Celtics,85,88,0
366,Chicago Bulls,Los Angeles Clippers,115,109,1
367,Detroit Pistons,Washington Wizards,88,74,0
368,Indiana Pacers,Golden State Warriors,127,120,0
369,Minnesota Timberwolves,Cleveland Cavaliers,70,93,0
370,New Jersey Nets,Utah Jazz,92,103,0
371,New Orleans Hornets,San Antonio Spurs,90,83,0
372,Philadelphia Sixers,Milwaukee Bucks,93,88,0
373,Toronto Raptors,Dallas Mavericks,86,96,0
374,Orlando Magic,San Antonio Spurs,90,78,0
375,Portland Trail Blazers,Phoenix Suns,124,119,0
376,Detroit Pistons,Utah Jazz,114,120,1
377,Houston Rockets,Sacramento Kings,107,96,0
378,Indiana Pacers,Los Angeles Clippers,109,117,1
379,Memphis Grizzlies,Charlotte Bobcats,83,112,0
380,Miami Heat,Los Angeles Lakers,89,87,0
381,New Jersey Nets,Dallas Mavericks,121,97,0
382,New York Knicks,Milwaukee Bucks,81,105,0
383,Oklahoma City Thunder,Toronto Raptors,91,83,0
384,Washington Wizards,Philadelphia Sixers,103,109,0
385,Atlanta Hawks,Golden State Warriors,115,99,0
386,Boston Celtics,Chicago Bulls,126,108,0
387,Denver Nuggets,Cleveland Cavaliers,88,105,0
388,Charlotte Bobcats,Golden State Warriors,103,110,0
389,Chicago Bulls,Utah Jazz,106,98,0
390,Milwaukee Bucks,Los Angeles Clippers,119,85,0
391,Minnesota Timberwolves,Houston Rockets,102,109,0
392,New Jersey Nets,Miami Heat,103,106,0
393,New Orleans Hornets,Sacramento Kings,99,90,0
394,Orlando Magic,Los Angeles Lakers,106,103,0
395,Philadelphia Sixers,Indiana Pacers,94,95,0
396,Phoenix Suns,Denver Nuggets,108,101,0
397,San Antonio Spurs,Toronto Raptors,107,97,0
398,Atlanta Hawks,Detroit Pistons,85,78,0
399,Boston Celtics,New York Knicks,124,105,0
400,Oklahoma City Thunder,Cleveland Cavaliers,91,102,0
401,Washington Wizards,Dallas Mavericks,86,97,0
402,Denver Nuggets,Portland Trail Blazers,97,89,0
403,Los Angeles Clippers,Toronto Raptors,75,97,0
404,Memphis Grizzlies,Los Angeles Lakers,96,105,0
405,New Jersey Nets,Houston Rockets,91,114,0
406,Orlando Magic,Golden State Warriors,113,81,0
407,San Antonio Spurs,Sacramento Kings,101,85,0
408,Atlanta Hawks,Oklahoma City Thunder,99,88,0
409,Boston Celtics,Philadelphia Sixers,110,91,0
410,Charlotte Bobcats,Washington Wizards,80,72,0
411,Cleveland Cavaliers,Houston Rockets,99,90,0
412,Dallas Mavericks,Memphis Grizzlies,100,82,0
413,Detroit Pistons,Chicago Bulls,104,98,0
414,Indiana Pacers,New Jersey Nets,107,108,0
415,Miami Heat,Golden State Warriors,96,88,0
416,Milwaukee Bucks,Utah Jazz,94,86,0
417,New Orleans Hornets,Los Angeles Lakers,87,100,0
418,Portland Trail Blazers,Denver Nuggets,101,92,0
419,San Antonio Spurs,Minnesota Timberwolves,99,93,0
420,Cleveland Cavaliers,Washington Wizards,93,89,0
421,Los Angeles Lakers,Boston Celtics,92,83,0
422,Orlando Magic,New Orleans Hornets,88,68,0
423,Phoenix Suns,San Antonio Spurs,90,91,0
424,Portland Trail Blazers,Dallas Mavericks,94,102,0
425,Denver Nuggets,Philadelphia Sixers,105,101,0
426,Detroit Pistons,Oklahoma City Thunder,90,88,0
427,Golden State Warriors,Boston Celtics,99,89,0
428,Memphis Grizzlies,Indiana Pacers,108,105,0
429,Miami Heat,Chicago Bulls,90,77,0
430,New Jersey Nets,Charlotte Bobcats,87,95,0
431,New Orleans Hornets,Houston Rockets,88,79,0
432,New York Knicks,Minnesota Timberwolves,107,120,0
433,Sacramento Kings,Toronto Raptors,101,107,0
434,Utah Jazz,Dallas Mavericks,97,88,0
435,Atlanta Hawks,Chicago Bulls,129,117,0
436,Charlotte Bobcats,New Jersey Nets,103,114,1
437,Houston Rockets,Utah Jazz,120,115,1
438,Milwaukee Bucks,Detroit Pistons,76,87,0
439,Minnesota Timberwolves,Orlando Magic,94,118,0
440,Portland Trail Blazers,Toronto Raptors,102,89,0
441,San Antonio Spurs,Memphis Grizzlies,106,103,1
442,Washington Wizards,Oklahoma City Thunder,104,95,0
443,Cleveland Cavaliers,Miami Heat,93,86,0
444,Indiana Pacers,New Orleans Hornets,103,105,0
445,Los Angeles Clippers,Dallas Mavericks,76,98,0
446,Los Angeles Lakers,Golden State Warriors,130,113,0
447,New York Knicks,Denver Nuggets,110,117,0
448,Sacramento Kings,Boston Celtics,63,108,0
449,Atlanta Hawks,Denver Nuggets,109,91,0
450,Detroit Pistons,Orlando Magic,88,82,0
451,Golden State Warriors,Toronto Raptors,117,111,0
452,Houston Rockets,Washington Wizards,87,89,0
453,Minnesota Timberwolves,Memphis Grizzlies,108,98,1
454,New Jersey Nets,Chicago Bulls,87,100,0
455,Oklahoma City Thunder,Phoenix Suns,102,110,0
456,Utah Jazz,Philadelphia Sixers,112,95,0
457,Charlotte Bobcats,New York Knicks,89,93,0
458,Dallas Mavericks,Minnesota Timberwolves,107,100,0
459,Indiana Pacers,Atlanta Hawks,104,110,0
460,Memphis Grizzlies,Phoenix Suns,89,101,0
461,Miami Heat,Cleveland Cavaliers,104,95,0
462,New Orleans Hornets,Washington Wizards,97,85,0
463,Portland Trail Blazers,Boston Celtics,91,86,0
464,Sacramento Kings,Los Angeles Clippers,92,90,0
465,San Antonio Spurs,Milwaukee Bucks,98,100,0
466,Chicago Bulls,Orlando Magic,94,113,0
