,homeTeam,awayTeam,homeScore,awayScore,OT
0,Los Angeles Lakers,San Antonio Spurs,82,87,0
1,Orlando Magic,Philadelphia Sixers,95,88,0
2,Sacramento Kings,Cleveland Cavaliers,94,67,0
3,Boston Celtics,Chicago Bulls,96,99,0
4,Detroit Pistons,New York Knicks,86,77,0
5,Golden State Warriors,San Antonio Spurs,106,98,0
6,Indiana Pacers,Houston Rockets,91,82,0
7,Los Angeles Clippers,Cleveland Cavaliers,96,98,0
8,Memphis Grizzlies,Dallas Mavericks,108,119,0
9,Miami Heat,Orlando Magic,86,100,0
10,Minnesota Timberwolves,Denver Nuggets,83,77,0
11,New Jersey Nets,Atlanta Hawks,105,94,0
12,New Orleans Hornets,Utah Jazz,100,75,0
13,Philadelphia Sixers,Milwaukee Bucks,95,93,0
14,Portland Trail Blazers,Los Angeles Lakers,102,90,0
15,Seattle Supersonics,Phoenix Suns,86,73,0
16,Toronto Raptors,Washington Wizards,74,68,0
17,Atlanta Hawks,Utah Jazz,105,98,0
18,Sacramento Kings,Portland Trail Blazers,100,72,0
19,Washington Wizards,Boston Celtics,114,69,0
20,Chicago Bulls,New Orleans Hornets,84,79,0
21,Denver Nuggets,Houston Rockets,74,83,0
22,Detroit Pistons,Memphis Grizzlies,109,86,0
23,Golden State Warriors,Seattle Supersonics,93,106,0
24,Los Angeles Lakers,Los Angeles Clippers,108,93,0
25,Minnesota Timberwolves,Orlando Magic,111,105,0
26,New Jersey Nets,Indiana Pacers,102,91,0
27,Philadelphia Sixers,New York Knicks,98,86,0
28,Phoenix Suns,Cleveland Cavaliers,78,74,0
29,San Antonio Spurs,Toronto Raptors,91,72,0
30,Atlanta Hawks,Chicago Bulls,98,92,0
31,Dallas Mavericks,Phoenix Suns,97,83,0
32,Houston Rockets,Toronto Raptors,88,76,0
33,Indiana Pacers,Minnesota Timberwolves,87,80,0
34,Memphis Grizzlies,Sacramento Kings,99,116,0
35,Milwaukee Bucks,Orlando Magic,90,100,0
36,New Orleans Hornets,Miami Heat,100,95,0
37,New York Knicks,Boston Celtics,107,117,0
38,Portland Trail Blazers,Denver Nuggets,79,96,0
39,Utah Jazz,Golden State Warriors,101,92,0
40,Washington Wizards,New Jersey Nets,79,87,0
41,Los Angeles Clippers,Detroit Pistons,74,72,0
42,Los Angeles Lakers,Portland Trail Blazers,98,95,1
43,Miami Heat,Sacramento Kings,88,78,0
44,Seattle Supersonics,Utah Jazz,91,77,0
45,Dallas Mavericks,Golden State Warriors,107,100,0
46,Memphis Grizzlies,San Antonio Spurs,101,103,1
47,New Jersey Nets,Minnesota Timberwolves,106,82,0
48,New York Knicks,Milwaukee Bucks,88,97,0
49,Phoenix Suns,Detroit Pistons,82,84,0
50,Toronto Raptors,Chicago Bulls,109,105,1
51,Cleveland Cavaliers,Los Angeles Lakers,89,70,0
52,Denver Nuggets,Atlanta Hawks,87,103,0
53,Houston Rockets,Seattle Supersonics,97,104,0
54,Miami Heat,Indiana Pacers,79,83,0
55,Minnesota Timberwolves,Washington Wizards,90,86,0
56,Orlando Magic,Sacramento Kings,125,121,0
57,San Antonio Spurs,Golden State Warriors,93,73,0
58,Chicago Bulls,Boston Celtics,69,91,0
59,Milwaukee Bucks,New Jersey Nets,99,93,0
60,New Orleans Hornets,Seattle Supersonics,86,84,0
61,New York Knicks,Sacramento Kings,95,88,0
62,Philadelphia Sixers,Los Angeles Clippers,101,99,1
63,Phoenix Suns,Atlanta Hawks,93,88,0
64,Portland Trail Blazers,Memphis Grizzlies,94,88,0
65,Toronto Raptors,Dallas Mavericks,92,106,0
66,Utah Jazz,Detroit Pistons,78,80,0
67,Washington Wizards,Cleveland Cavaliers,107,100,0
68,Boston Celtics,Los Angeles Lakers,98,95,1
69,Denver Nuggets,Detroit Pistons,63,89,0
70,Minnesota Timberwolves,Milwaukee Bucks,114,110,0
71,Chicago Bulls,Dallas Mavericks,87,114,0
72,Indiana Pacers,New York Knicks,107,94,0
73,New Jersey Nets,Los Angeles Clippers,106,92,0
74,New Orleans Hornets,Golden State Warriors,110,104,0
75,Orlando Magic,Seattle Supersonics,105,98,0
76,Philadelphia Sixers,Cleveland Cavaliers,108,84,0
77,Phoenix Suns,Portland Trail Blazers,86,75,0
78,Sacramento Kings,Memphis Grizzlies,99,91,0
79,Utah Jazz,Atlanta Hawks,110,97,0
80,Washington Wizards,Los Angeles Lakers,100,99,0
81,Chicago Bulls,New Jersey Nets,100,93,0
82,Cleveland Cavaliers,Washington Wizards,79,93,0
83,Dallas Mavericks,Detroit Pistons,114,75,0
84,Denver Nuggets,Memphis Grizzlies,84,73,0
