,homeTeam,awayTeam,homeScore,awayScore,OT
0,Boston Celtics,Miami Heat,88,80,0
1,Los Angeles Lakers,Houston Rockets,112,110,0
2,Portland Trail Blazers,Phoenix Suns,106,92,0
3,Cleveland Cavaliers,Boston Celtics,95,87,0
4,Dallas Mavericks,Charlotte Bobcats,101,86,0
5,Denver Nuggets,Utah Jazz,110,88,0
6,Golden State Warriors,Houston Rockets,132,128,0
7,Los Angeles Clippers,Portland Trail Blazers,88,98,0
8,Memphis Grizzlies,Atlanta Hawks,104,119,0
9,Minnesota Timberwolves,Sacramento Kings,116,117,0
10,New Jersey Nets,Detroit Pistons,101,98,0
11,New Orleans Hornets,Milwaukee Bucks,95,91,0
12,Oklahoma City Thunder,Chicago Bulls,106,95,0
13,Philadelphia Sixers,Miami Heat,87,97,0
14,San Antonio Spurs,Indiana Pacers,122,109,0
15,Toronto Raptors,New York Knicks,93,98,0
16,Orlando Magic,Washington Wizards,112,83,0
17,Utah Jazz,Phoenix Suns,94,110,0
18,Boston Celtics,New York Knicks,105,101,0
19,Charlotte Bobcats,Indiana Pacers,101,104,0
20,Dallas Mavericks,Memphis Grizzlies,90,91,0
21,Detroit Pistons,Oklahoma City Thunder,104,105,0
22,Golden State Warriors,Los Angeles Clippers,109,91,0
23,Miami Heat,Orlando Magic,96,70,0
24,Minnesota Timberwolves,Milwaukee Bucks,96,85,0
25,New Jersey Nets,Sacramento Kings,106,100,0
26,New Orleans Hornets,Denver Nuggets,101,95,0
27,Philadelphia Sixers,Atlanta Hawks,101,104,0
28,Phoenix Suns,Los Angeles Lakers,106,114,0
29,Toronto Raptors,Cleveland Cavaliers,101,81,0
30,Atlanta Hawks,Washington Wizards,99,95,0
31,Chicago Bulls,Detroit Pistons,101,91,0
32,Cleveland Cavaliers,Sacramento Kings,104,107,0
33,Houston Rockets,Denver Nuggets,94,107,0
34,Indiana Pacers,Philadelphia Sixers,99,86,0
35,Memphis Grizzlies,Minnesota Timberwolves,109,89,0
36,Milwaukee Bucks,Charlotte Bobcats,98,88,0
37,New York Knicks,Portland Trail Blazers,95,100,0
38,San Antonio Spurs,New Orleans Hornets,90,99,0
39,Los Angeles Clippers,Dallas Mavericks,83,99,0
40,Los Angeles Lakers,Golden State Warriors,107,83,0
41,New Jersey Nets,Miami Heat,78,101,0
42,Oklahoma City Thunder,Utah Jazz,99,120,0
43,Chicago Bulls,Portland Trail Blazers,110,98,0
44,Los Angeles Clippers,San Antonio Spurs,88,97,0
45,Sacramento Kings,Toronto Raptors,111,108,0
46,Cleveland Cavaliers,Atlanta Hawks,88,100,0
47,Detroit Pistons,Boston Celtics,86,109,0
48,Los Angeles Lakers,Memphis Grizzlies,124,105,0
49,Miami Heat,Minnesota Timberwolves,129,97,0
50,Milwaukee Bucks,Portland Trail Blazers,76,90,0
51,Washington Wizards,Philadelphia Sixers,116,115,1
52,Golden State Warriors,Memphis Grizzlies,115,109,0
53,Houston Rockets,New Orleans Hornets,99,107,0
54,Los Angeles Clippers,Oklahoma City Thunder,107,92,0
55,New Jersey Nets,Charlotte Bobcats,83,85,0
56,Orlando Magic,Minnesota Timberwolves,128,86,0
57,Philadelphia Sixers,Indiana Pacers,101,75,0
58,Phoenix Suns,San Antonio Spurs,110,112,0
59,Sacramento Kings,Los Angeles Lakers,100,112,0
60,Utah Jazz,Toronto Raptors,125,108,0
61,Atlanta Hawks,Detroit Pistons,94,85,0
62,Boston Celtics,Milwaukee Bucks,105,102,1
63,Denver Nuggets,Dallas Mavericks,101,102,0
64,Chicago Bulls,New York Knicks,112,120,0
65,Portland Trail Blazers,Oklahoma City Thunder,106,107,1
66,Boston Celtics,Chicago Bulls,110,105,1
67,Denver Nuggets,Los Angeles Clippers,111,104,0
68,Detroit Pistons,Charlotte Bobcats,97,90,0
69,Golden State Warriors,Utah Jazz,85,78,0
70,Indiana Pacers,Milwaukee Bucks,90,94,0
71,Los Angeles Lakers,Toronto Raptors,108,103,0
72,Minnesota Timberwolves,Atlanta Hawks,103,113,0
73,New Orleans Hornets,Miami Heat,96,93,0
74,New York Knicks,Washington Wizards,112,91,0
75,Orlando Magic,New Jersey Nets,105,90,0
76,Philadelphia Sixers,Cleveland Cavaliers,116,123,0
77,Phoenix Suns,Memphis Grizzlies,123,118,1
78,Charlotte Bobcats,Orlando Magic,88,91,0
79,Dallas Mavericks,Denver Nuggets,92,103,0
80,Miami Heat,New Jersey Nets,101,89,0
81,Milwaukee Bucks,New Orleans Hornets,81,87,0
82,Portland Trail Blazers,Toronto Raptors,97,84,0
83,Sacramento Kings,Memphis Grizzlies,91,100,0
84,San Antonio Spurs,Houston Rockets,124,121,1
85,Utah Jazz,Los Angeles Clippers,109,107,1
86,Washington Wizards,Cleveland Cavaliers,102,107,0
87,Atlanta Hawks,Phoenix Suns,114,118,0
88,Detroit Pistons,Golden State Warriors,102,97,0
89,Houston Rockets,Minnesota Timberwolves,120,94,0
90,Los Angeles Lakers,Portland Trail Blazers,121,96,0
91,New York Knicks,Philadelphia Sixers,96,106,0
92,Oklahoma City Thunder,Boston Celtics,83,92,0
93,Charlotte Bobcats,San Antonio Spurs,91,95,0
94,Chicago Bulls,Denver Nuggets,94,92,0
95,Dallas Mavericks,Boston Celtics,89,87,0
