,homeTeam,awayTeam,homeScore,awayScore,OT
0,Cleveland Cavaliers,Washington Wizards,94,84,0
1,Miami Heat,Boston Celtics,120,107,0
2,Los Angeles Lakers,Dallas Mavericks,91,99,0
3,Toronto Raptors,Indiana Pacers,88,90,0
4,Philadelphia Sixers,Denver Nuggets,84,75,0
5,Detroit Pistons,Houston Rockets,96,105,0
6,Chicago Bulls,Sacramento Kings,93,87,0
7,New Orleans Hornets,San Antonio Spurs,95,99,0
8,Utah Jazz,Dallas Mavericks,113,94,0
9,Phoenix Suns,Golden State Warriors,85,87,0
10,Los Angeles Clippers,Memphis Grizzlies,101,92,0
11,Portland Trail Blazers,Los Angeles Lakers,116,106,0
12,San Antonio Spurs,Oklahoma City Thunder,86,84,0
13,Charlotte Bobcats,Indiana Pacers,90,89,0
14,Orlando Magic,Denver Nuggets,102,89,0
15,Boston Celtics,Milwaukee Bucks,88,99,0
16,Atlanta Hawks,Houston Rockets,102,109,0
17,Cleveland Cavaliers,Chicago Bulls,86,115,0
18,New York Knicks,Miami Heat,104,84,0
19,New Orleans Hornets,Utah Jazz,88,86,0
20,Oklahoma City Thunder,Portland Trail Blazers,106,92,0
21,Minnesota Timberwolves,Sacramento Kings,92,80,0
22,Phoenix Suns,Detroit Pistons,92,89,0
23,Los Angeles Clippers,Los Angeles Lakers,105,95,0
24,Golden State Warriors,Memphis Grizzlies,94,104,0
25,Washington Wizards,Boston Celtics,86,89,0
26,Indiana Pacers,Sacramento Kings,106,98,1
27,Brooklyn Nets,Toronto Raptors,107,100,0
28,Miami Heat,Denver Nuggets,119,116,0
29,Chicago Bulls,New Orleans Hornets,82,89,0
30,Houston Rockets,Portland Trail Blazers,85,95,1
31,Milwaukee Bucks,Cleveland Cavaliers,105,102,0
32,Dallas Mavericks,Charlotte Bobcats,126,99,0
33,San Antonio Spurs,Utah Jazz,110,100,0
34,Los Angeles Clippers,Golden State Warriors,110,114,0
35,New York Knicks,Philadelphia Sixers,100,84,0
36,Toronto Raptors,Minnesota Timberwolves,105,86,0
37,Orlando Magic,Phoenix Suns,115,94,0
38,Oklahoma City Thunder,Atlanta Hawks,95,104,0
39,Los Angeles Lakers,Detroit Pistons,108,79,0
40,Philadelphia Sixers,New York Knicks,88,110,0
41,Brooklyn Nets,Minnesota Timberwolves,96,107,0
42,Miami Heat,Phoenix Suns,124,99,0
43,Memphis Grizzlies,Utah Jazz,103,94,0
44,Dallas Mavericks,Portland Trail Blazers,114,91,0
45,San Antonio Spurs,Indiana Pacers,101,79,0
46,Sacramento Kings,Golden State Warriors,94,92,0
47,Los Angeles Clippers,Cleveland Cavaliers,101,108,0
48,Chicago Bulls,Orlando Magic,99,93,0
49,Oklahoma City Thunder,Toronto Raptors,108,88,0
50,Denver Nuggets,Detroit Pistons,109,97,0
51,Charlotte Bobcats,Phoenix Suns,110,117,0
52,Boston Celtics,Washington Wizards,100,94,1
53,Atlanta Hawks,Indiana Pacers,89,86,0
54,Miami Heat,Brooklyn Nets,103,73,0
