,homeTeam,awayTeam,homeScore,awayScore,OT
0,Charlotte Hornets,Orlando Magic,100,86,0
1,Dallas Mavericks,Golden State Warriors,108,96,0
2,Denver Nuggets,Phoenix Suns,107,102,1
3,Houston Rockets,Milwaukee Bucks,93,98,0
4,Los Angeles Clippers,Seattle Supersonics,92,104,0
5,Miami Heat,Detroit Pistons,128,122,1
6,New Jersey Nets,Indiana Pacers,112,119,0
7,New York Knicks,Cleveland Cavaliers,92,84,0
8,San Antonio Spurs,Philadelphia Sixers,89,76,0
9,Toronto Raptors,Boston Celtics,90,103,0
10,Utah Jazz,Los Angeles Lakers,84,91,0
11,Vancouver Grizzlies,Portland Trail Blazers,86,106,0
12,Washington Wizards,Atlanta Hawks,94,87,0
13,Boston Celtics,Washington Wizards,112,101,0
14,Chicago Bulls,New York Knicks,74,84,0
15,Cleveland Cavaliers,New Jersey Nets,97,90,0
16,Los Angeles Lakers,Vancouver Grizzlies,103,88,0
17,Orlando Magic,Detroit Pistons,103,94,0
18,Portland Trail Blazers,Los Angeles Clippers,121,98,0
19,Atlanta Hawks,Milwaukee Bucks,109,119,0
20,Charlotte Hornets,Indiana Pacers,98,89,0
21,Phoenix Suns,Philadelphia Sixers,84,80,0
22,San Antonio Spurs,Golden State Warriors,104,81,0
23,Seattle Supersonics,Dallas Mavericks,106,96,0
24,Toronto Raptors,Miami Heat,97,86,0
25,Utah Jazz,Houston Rockets,98,82,0
26,Boston Celtics,Charlotte Hornets,103,100,0
27,Chicago Bulls,Miami Heat,87,105,0
28,Detroit Pistons,New York Knicks,91,103,0
29,Houston Rockets,San Antonio Spurs,85,95,0
30,Los Angeles Clippers,Philadelphia Sixers,91,81,0
31,New Jersey Nets,Toronto Raptors,92,112,0
32,Orlando Magic,Cleveland Cavaliers,99,104,0
33,Portland Trail Blazers,Denver Nuggets,95,83,0
34,Sacramento Kings,Minnesota Timberwolves,100,95,0
35,Atlanta Hawks,Chicago Bulls,113,97,0
36,Cleveland Cavaliers,New York Knicks,102,93,0
37,Golden State Warriors,Dallas Mavericks,97,120,0
38,Indiana Pacers,Boston Celtics,115,108,0
39,Milwaukee Bucks,Detroit Pistons,121,111,0
40,Minnesota Timberwolves,Sacramento Kings,114,101,0
41,Portland Trail Blazers,Los Angeles Lakers,97,82,0
42,Seattle Supersonics,Utah Jazz,99,94,0
43,Vancouver Grizzlies,Denver Nuggets,109,94,0
44,Washington Wizards,Orlando Magic,104,107,0
45,Los Angeles Lakers,Dallas Mavericks,105,97,0
46,New Jersey Nets,Washington Wizards,112,87,0
47,Phoenix Suns,San Antonio Spurs,77,74,0
48,Toronto Raptors,Charlotte Hornets,109,99,0
49,Denver Nuggets,Atlanta Hawks,115,100,0
50,Houston Rockets,Orlando Magic,97,102,0
51,Los Angeles Clippers,Utah Jazz,79,94,0
52,New York Knicks,Milwaukee Bucks,111,101,1
53,Philadelphia Sixers,Seattle Supersonics,117,98,0
54,Chicago Bulls,Phoenix Suns,80,103,0
55,Dallas Mavericks,Los Angeles Lakers,101,123,0
56,Golden State Warriors,San Antonio Spurs,89,118,0
57,Miami Heat,Indiana Pacers,113,101,0
58,Utah Jazz,Portland Trail Blazers,92,87,0
59,Boston Celtics,Detroit Pistons,92,110,0
60,Charlotte Hornets,Milwaukee Bucks,117,111,0
61,Houston Rockets,Los Angeles Lakers,88,89,0
62,Los Angeles Clippers,San Antonio Spurs,94,99,0
63,New Jersey Nets,Phoenix Suns,89,104,0
64,Orlando Magic,Philadelphia Sixers,110,105,0
65,Vancouver Grizzlies,Atlanta Hawks,102,97,1
66,Washington Wizards,Seattle Supersonics,95,109,0
67,Cleveland Cavaliers,Seattle Supersonics,103,109,0
68,Detroit Pistons,Toronto Raptors,106,123,0
69,Indiana Pacers,Orlando Magic,116,101,0
70,Miami Heat,Dallas Mavericks,128,105,0
71,Minnesota Timberwolves,New York Knicks,93,90,0
72,Boston Celtics,New York Knicks,80,74,0
73,Charlotte Hornets,New Jersey Nets,96,92,0
74,Denver Nuggets,Portland Trail Blazers,78,93,0
75,Los Angeles Lakers,Houston Rockets,81,97,0
76,Milwaukee Bucks,Phoenix Suns,107,92,0
77,Philadelphia Sixers,Chicago Bulls,92,86,0
78,Sacramento Kings,Utah Jazz,105,92,0
79,Vancouver Grizzlies,Golden State Warriors,93,103,0
80,Washington Wizards,Miami Heat,95,104,0
81,Chicago Bulls,Boston Celtics,92,91,0
82,Cleveland Cavaliers,Milwaukee Bucks,117,112,0
83,Dallas Mavericks,Orlando Magic,125,117,0
84,Detroit Pistons,Seattle Supersonics,107,99,0
85,Golden State Warriors,Houston Rockets,95,103,0
86,Indiana Pacers,Washington Wizards,105,83,0
87,Minnesota Timberwolves,Phoenix Suns,111,100,0
