,homeTeam,awayTeam,homeScore,awayScore,OT
0,Atlanta Hawks,Indiana Pacers,106,111,0
1,Boston Celtics,Milwaukee Bucks,100,101,0
2,Chicago Bulls,Charlotte Hornets,105,91,0
3,Detroit Pistons,New York Knicks,100,106,0
4,Houston Rockets,Golden State Warriors,110,92,0
5,Los Angeles Clippers,Phoenix Suns,112,106,0
6,Los Angeles Lakers,Denver Nuggets,98,96,0
7,Orlando Magic,Cleveland Cavaliers,99,88,0
8,Philadelphia Sixers,Washington Bullets,105,103,0
9,Portland Trail Blazers,Vancouver Grizzlies,80,92,0
10,Sacramento Kings,Minnesota Timberwolves,95,86,0
11,San Antonio Spurs,Dallas Mavericks,97,103,0
12,Toronto Raptors,New Jersey Nets,94,79,0
13,Utah Jazz,Seattle Supersonics,112,94,0
14,Atlanta Hawks,Orlando Magic,124,91,0
15,Charlotte Hornets,Philadelphia Sixers,119,108,0
16,Chicago Bulls,Boston Celtics,107,85,0
17,Dallas Mavericks,Golden State Warriors,99,84,0
18,Denver Nuggets,San Antonio Spurs,108,116,0
19,Indiana Pacers,Toronto Raptors,97,89,0
20,Miami Heat,Cleveland Cavaliers,85,71,0
21,Milwaukee Bucks,New York Knicks,71,84,0
22,Seattle Supersonics,Los Angeles Lakers,103,89,0
23,Washington Bullets,Detroit Pistons,100,89,0
24,Phoenix Suns,Houston Rockets,104,106,0
25,Portland Trail Blazers,Utah Jazz,109,105,0
26,Sacramento Kings,Los Angeles Clippers,99,82,0
27,Vancouver Grizzlies,Minnesota Timberwolves,100,98,1
28,Orlando Magic,Washington Bullets,105,95,0
29,Utah Jazz,Atlanta Hawks,105,96,0
30,Charlotte Hornets,Detroit Pistons,108,96,0
31,Chicago Bulls,Toronto Raptors,117,108,0
32,Cleveland Cavaliers,Indiana Pacers,101,104,0
33,Dallas Mavericks,Vancouver Grizzlies,99,88,0
34,Golden State Warriors,Denver Nuggets,98,93,0
35,Houston Rockets,Milwaukee Bucks,106,89,0
36,Minnesota Timberwolves,Los Angeles Lakers,93,92,0
37,New Jersey Nets,Portland Trail Blazers,104,84,0
38,New York Knicks,Phoenix Suns,94,102,0
39,Philadelphia Sixers,Sacramento Kings,106,109,0
