,homeTeam,awayTeam,homeScore,awayScore,OT
0,Cleveland Cavaliers,Boston Celtics,89,95,0
1,Dallas Mavericks,Washington Wizards,91,102,0
2,Los Angeles Lakers,Los Angeles Clippers,99,92,0
3,Portland Trail Blazers,Houston Rockets,96,87,0
4,Atlanta Hawks,Indiana Pacers,120,109,0
5,Boston Celtics,Charlotte Bobcats,92,59,0
6,Denver Nuggets,Utah Jazz,114,105,0
7,Golden State Warriors,Houston Rockets,107,108,0
8,Los Angeles Clippers,Phoenix Suns,107,109,0
9,Memphis Grizzlies,Detroit Pistons,74,96,0
10,Miami Heat,New York Knicks,115,93,0
11,Minnesota Timberwolves,New Jersey Nets,95,93,0
12,Oklahoma City Thunder,Sacramento Kings,102,89,0
13,Orlando Magic,Philadelphia Sixers,120,106,0
14,San Antonio Spurs,New Orleans Hornets,113,96,0
15,Toronto Raptors,Cleveland Cavaliers,101,91,0
16,Chicago Bulls,San Antonio Spurs,92,85,0
17,Portland Trail Blazers,Denver Nuggets,94,97,0
18,Atlanta Hawks,Washington Wizards,100,89,0
19,Boston Celtics,Chicago Bulls,118,90,0
20,Charlotte Bobcats,New York Knicks,102,100,1
21,Detroit Pistons,Oklahoma City Thunder,83,91,0
22,Indiana Pacers,Miami Heat,83,96,0
23,Los Angeles Lakers,Dallas Mavericks,80,94,0
24,Memphis Grizzlies,Toronto Raptors,115,107,0
25,Minnesota Timberwolves,Cleveland Cavaliers,87,104,0
26,New Jersey Nets,Orlando Magic,85,95,0
27,New Orleans Hornets,Sacramento Kings,97,92,0
28,Philadelphia Sixers,Milwaukee Bucks,99,86,0
29,Phoenix Suns,Golden State Warriors,123,101,0
30,Utah Jazz,Los Angeles Clippers,111,98,0
31,Cleveland Cavaliers,Charlotte Bobcats,90,79,0
32,Houston Rockets,Portland Trail Blazers,111,107,0
33,Los Angeles Clippers,Dallas Mavericks,84,93,0
34,Milwaukee Bucks,Detroit Pistons,96,85,0
35,New York Knicks,Philadelphia Sixers,127,141,1
36,San Antonio Spurs,Sacramento Kings,113,94,0
37,Washington Wizards,New Jersey Nets,123,104,0
38,Boston Celtics,New Orleans Hornets,97,87,0
39,Denver Nuggets,Memphis Grizzlies,133,123,0
40,Los Angeles Lakers,Atlanta Hawks,118,110,0
41,Miami Heat,Chicago Bulls,95,87,0
42,Oklahoma City Thunder,Portland Trail Blazers,74,83,0
43,Phoenix Suns,Minnesota Timberwolves,120,112,0
44,Toronto Raptors,Orlando Magic,116,125,0
45,Charlotte Bobcats,New Jersey Nets,79,68,0
46,Los Angeles Clippers,Minnesota Timberwolves,93,90,0
47,New York Knicks,New Orleans Hornets,117,111,0
48,Sacramento Kings,Memphis Grizzlies,127,116,1
49,Utah Jazz,Houston Rockets,96,113,0
50,Chicago Bulls,Milwaukee Bucks,83,81,0
51,Cleveland Cavaliers,Washington Wizards,102,90,0
52,Dallas Mavericks,Utah Jazz,96,85,0
53,Detroit Pistons,Orlando Magic,85,80,0
54,Indiana Pacers,Denver Nuggets,93,111,0
55,Miami Heat,Phoenix Suns,96,104,0
56,Oklahoma City Thunder,Los Angeles Lakers,98,101,1
57,Philadelphia Sixers,Boston Celtics,74,105,0
58,Portland Trail Blazers,Atlanta Hawks,91,97,0
59,Golden State Warriors,Memphis Grizzlies,113,105,0
60,Houston Rockets,Los Angeles Lakers,102,103,1
61,Minnesota Timberwolves,Boston Celtics,90,92,0
62,New Jersey Nets,Denver Nuggets,94,122,0
63,New Orleans Hornets,Dallas Mavericks,114,107,1
64,New York Knicks,Indiana Pacers,89,101,0
65,Orlando Magic,Phoenix Suns,122,100,0
66,Sacramento Kings,Atlanta Hawks,105,113,0
67,Toronto Raptors,Detroit Pistons,110,99,0
68,Washington Wizards,Miami Heat,89,93,0
69,Cleveland Cavaliers,Chicago Bulls,85,86,0
70,Utah Jazz,San Antonio Spurs,113,99,0
71,Boston Celtics,Phoenix Suns,103,110,0
72,Charlotte Bobcats,Atlanta Hawks,103,83,0
73,Golden State Warriors,Los Angeles Clippers,90,118,0
74,Houston Rockets,Oklahoma City Thunder,105,94,0
75,Indiana Pacers,Washington Wizards,102,86,0
76,Los Angeles Lakers,Memphis Grizzlies,114,98,0
77,Miami Heat,Denver Nuggets,96,88,0
78,Minnesota Timberwolves,Milwaukee Bucks,72,87,0
79,New Orleans Hornets,Toronto Raptors,90,107,0
80,New York Knicks,Cleveland Cavaliers,91,100,0
81,Orlando Magic,Detroit Pistons,110,103,0
82,Philadelphia Sixers,New Jersey Nets,97,94,0
83,Portland Trail Blazers,San Antonio Spurs,96,84,0
84,Milwaukee Bucks,New York Knicks,102,87,0
85,New Jersey Nets,Boston Celtics,76,86,0
86,Utah Jazz,Sacramento Kings,99,104,0
87,Atlanta Hawks,Denver Nuggets,125,100,0
88,Chicago Bulls,Charlotte Bobcats,93,90,0
89,Dallas Mavericks,Toronto Raptors,129,101,0
90,Los Angeles Clippers,Memphis Grizzlies,113,110,0
91,Detroit Pistons,Philadelphia Sixers,88,81,0
92,Los Angeles Lakers,New Orleans Hornets,104,88,0
93,Oklahoma City Thunder,Orlando Magic,102,74,0
94,Portland Trail Blazers,Minnesota Timberwolves,116,93,0
95,Sacramento Kings,Golden State Warriors,120,107,0
96,Washington Wizards,Phoenix Suns,90,102,0
97,Golden State Warriors,Minnesota Timberwolves,146,105,0
98,Los Angeles Clippers,New Orleans Hornets,84,112,0
99,New York Knicks,Utah Jazz,93,95,0
100,Philadelphia Sixers,Phoenix Suns,115,119,0
101,San Antonio Spurs,Toronto Raptors,131,124,0
102,Charlotte Bobcats,Orlando Magic,81,93,0
103,Chicago Bulls,Denver Nuggets,89,90,0
104,Dallas Mavericks,Houston Rockets,121,103,0
105,Memphis Grizzlies,Portland Trail Blazers,79,93,0
106,Miami Heat,Washington Wizards,90,76,0
107,Sacramento Kings,Oklahoma City Thunder,101,98,0
108,Boston Celtics,Utah Jazz,105,86,0
109,Detroit Pistons,Charlotte Bobcats,98,75,0
110,Houston Rockets,Memphis Grizzlies,104,79,0
111,Indiana Pacers,Golden State Warriors,108,94,0
112,Los Angeles Clippers,Oklahoma City Thunder,79,83,0
113,Milwaukee Bucks,Denver Nuggets,108,102,0
114,Minnesota Timberwolves,Portland Trail Blazers,84,107,0
115,New Jersey Nets,Philadelphia Sixers,79,82,0
116,New York Knicks,Atlanta Hawks,101,114,0
117,Orlando Magic,Cleveland Cavaliers,93,102,0
