,homeTeam,awayTeam,homeScore,awayScore,OT
0,Los Angeles Lakers,Phoenix Suns,114,106,0
1,Miami Heat,Chicago Bulls,66,108,0
2,Boston Celtics,New Orleans Hornets,87,91,0
3,Charlotte Bobcats,Indiana Pacers,99,106,0
4,Cleveland Cavaliers,Washington Wizards,97,94,0
5,Detroit Pistons,Milwaukee Bucks,97,105,0
6,Golden State Warriors,Los Angeles Lakers,98,110,0
7,Memphis Grizzlies,New York Knicks,117,118,1
8,Minnesota Timberwolves,Sacramento Kings,92,83,0
9,New Jersey Nets,Toronto Raptors,102,92,0
10,Orlando Magic,Chicago Bulls,109,94,0
11,Philadelphia Sixers,Atlanta Hawks,88,75,0
12,Phoenix Suns,Los Angeles Clippers,112,104,0
13,Seattle Supersonics,Portland Trail Blazers,106,110,0
14,Utah Jazz,Houston Rockets,107,97,0
15,Dallas Mavericks,San Antonio Spurs,91,97,0
16,Los Angeles Clippers,Denver Nuggets,96,95,0
17,Atlanta Hawks,New York Knicks,102,92,0
18,Boston Celtics,Detroit Pistons,88,101,0
19,Chicago Bulls,Sacramento Kings,88,89,0
20,Denver Nuggets,Minnesota Timberwolves,109,112,0
21,Golden State Warriors,Portland Trail Blazers,102,89,0
22,Indiana Pacers,New Orleans Hornets,91,100,0
23,Los Angeles Lakers,Seattle Supersonics,118,112,0
24,Memphis Grizzlies,Charlotte Bobcats,96,83,0
25,Miami Heat,New Jersey Nets,91,85,0
26,Orlando Magic,Philadelphia Sixers,103,105,0
27,Phoenix Suns,Utah Jazz,104,108,0
28,San Antonio Spurs,Cleveland Cavaliers,81,88,0
29,Toronto Raptors,Milwaukee Bucks,109,92,0
30,Charlotte Bobcats,Cleveland Cavaliers,92,88,0
31,Detroit Pistons,Memphis Grizzlies,95,86,0
32,Houston Rockets,Dallas Mavericks,107,76,0
33,Los Angeles Clippers,Phoenix Suns,114,108,0
34,Milwaukee Bucks,Sacramento Kings,104,91,0
35,New York Knicks,Indiana Pacers,95,109,0
36,Portland Trail Blazers,Minnesota Timberwolves,88,86,0
37,Utah Jazz,Golden State Warriors,106,82,0
38,Washington Wizards,Boston Celtics,124,117,0
39,Atlanta Hawks,Orlando Magic,95,82,0
40,New Orleans Hornets,Houston Rockets,96,90,0
41,Philadelphia Sixers,Miami Heat,107,98,0
42,Seattle Supersonics,Los Angeles Lakers,117,101,0
43,Toronto Raptors,San Antonio Spurs,94,103,0
44,Chicago Bulls,Milwaukee Bucks,110,85,0
45,Dallas Mavericks,Golden State Warriors,104,107,0
46,Los Angeles Clippers,Portland Trail Blazers,102,89,0
47,New York Knicks,San Antonio Spurs,93,105,0
48,Orlando Magic,Washington Wizards,106,103,0
49,Sacramento Kings,Minnesota Timberwolves,93,81,0
50,Utah Jazz,Detroit Pistons,103,101,0
51,Cleveland Cavaliers,Atlanta Hawks,95,104,1
52,Indiana Pacers,Philadelphia Sixers,97,86,0
53,Los Angeles Lakers,Minnesota Timberwolves,95,88,0
54,Memphis Grizzlies,Houston Rockets,80,86,0
55,Miami Heat,Seattle Supersonics,90,87,0
56,New Orleans Hornets,Golden State Warriors,97,93,0
57,Boston Celtics,Charlotte Bobcats,110,108,1
58,Denver Nuggets,New York Knicks,107,109,0
59,Los Angeles Clippers,Dallas Mavericks,103,85,0
60,Milwaukee Bucks,Houston Rockets,93,97,0
61,New Jersey Nets,Utah Jazz,96,89,0
62,Orlando Magic,Seattle Supersonics,88,87,0
63,Portland Trail Blazers,Los Angeles Lakers,101,90,0
64,Sacramento Kings,Detroit Pistons,99,86,0
65,San Antonio Spurs,Phoenix Suns,111,106,1
66,Toronto Raptors,Philadelphia Sixers,106,104,0
67,Washington Wizards,Indiana Pacers,117,91,0
68,Cleveland Cavaliers,Chicago Bulls,113,94,0
69,Golden State Warriors,New Orleans Hornets,121,116,0
70,Phoenix Suns,Dallas Mavericks,112,119,0
71,Boston Celtics,Utah Jazz,100,107,0
72,Charlotte Bobcats,Seattle Supersonics,85,99,0
73,Houston Rockets,New York Knicks,103,94,0
74,Indiana Pacers,Orlando Magic,93,83,0
75,Los Angeles Lakers,Detroit Pistons,83,97,0
76,New Jersey Nets,Miami Heat,106,113,0
77,Philadelphia Sixers,Denver Nuggets,101,108,0
78,Portland Trail Blazers,New Orleans Hornets,92,91,0
79,Toronto Raptors,Atlanta Hawks,102,111,0
80,Washington Wizards,Milwaukee Bucks,116,111,0
81,Atlanta Hawks,Seattle Supersonics,112,113,1
82,Chicago Bulls,Indiana Pacers,89,80,0
83,Cleveland Cavaliers,Boston Celtics,94,93,0
84,Golden State Warriors,Detroit Pistons,111,79,0
85,Milwaukee Bucks,Utah Jazz,111,113,0
86,Minnesota Timberwolves,Orlando Magic,98,109,0
87,Phoenix Suns,Memphis Grizzlies,96,87,0
88,San Antonio Spurs,New York Knicks,100,92,0
89,Charlotte Bobcats,Denver Nuggets,101,108,0
90,Los Angeles Clippers,New Orleans Hornets,92,76,0
91,Los Angeles Lakers,Memphis Grizzlies,91,81,0
92,Miami Heat,Houston Rockets,72,94,0
93,Portland Trail Blazers,Dallas Mavericks,96,103,0
94,Sacramento Kings,Toronto Raptors,107,92,0
95,Washington Wizards,New Jersey Nets,93,105,1
96,Boston Celtics,Orlando Magic,89,92,0
97,New Jersey Nets,Seattle Supersonics,113,119,0
98,New York Knicks,Cleveland Cavaliers,96,102,0
99,Atlanta Hawks,Milwaukee Bucks,101,103,0
100,Dallas Mavericks,Chicago Bulls,111,99,0
101,Golden State Warriors,Toronto Raptors,110,99,0
102,Houston Rockets,San Antonio Spurs,84,92,0
103,Miami Heat,Denver Nuggets,105,112,0
104,Minnesota Timberwolves,Portland Trail Blazers,101,89,0
105,New Orleans Hornets,Charlotte Bobcats,94,85,0
106,Utah Jazz,Los Angeles Clippers,112,90,0
107,Boston Celtics,Indiana Pacers,114,88,0
108,Cleveland Cavaliers,Portland Trail Blazers,100,87,0
109,Detroit Pistons,New Orleans Hornets,99,100,0
110,New Jersey Nets,Milwaukee Bucks,100,87,0
111,New York Knicks,Washington Wizards,102,82,0
112,Orlando Magic,Denver Nuggets,108,99,0
113,Sacramento Kings,Memphis Grizzlies,115,111,0
114,San Antonio Spurs,Charlotte Bobcats,92,95,1
115,Seattle Supersonics,Philadelphia Sixers,90,96,0
116,Golden State Warriors,Sacramento Kings,117,105,0
117,Houston Rockets,Chicago Bulls,101,100,0
118,Boston Celtics,Portland Trail Blazers,118,90,0
119,Cleveland Cavaliers,Minnesota Timberwolves,92,76,0
120,Detroit Pistons,Washington Wizards,100,91,0
