,homeTeam,awayTeam,homeScore,awayScore,OT
0,Boston Celtics,Chicago Bulls,98,107,0
1,Denver Nuggets,Dallas Mavericks,91,92,0
2,Detroit Pistons,Indiana Pacers,95,89,0
3,Golden State Warriors,Los Angeles Clippers,85,97,0
4,Houston Rockets,Sacramento Kings,96,85,0
5,Los Angeles Lakers,Phoenix Suns,96,82,0
6,Miami Heat,Atlanta Hawks,94,81,0
7,Minnesota Timberwolves,San Antonio Spurs,82,78,0
8,New Jersey Nets,Cleveland Cavaliers,77,90,0
9,Orlando Magic,Washington Bullets,92,96,0
10,Philadelphia Sixers,Milwaukee Bucks,103,111,0
11,Toronto Raptors,New York Knicks,99,107,0
12,Utah Jazz,Seattle Supersonics,99,91,0
13,Vancouver Grizzlies,Portland Trail Blazers,85,114,0
14,Atlanta Hawks,Detroit Pistons,78,90,0
15,Charlotte Hornets,Toronto Raptors,109,98,0
16,Chicago Bulls,Philadelphia Sixers,115,86,0
17,Dallas Mavericks,Sacramento Kings,94,107,0
18,Indiana Pacers,Miami Heat,95,97,0
19,Los Angeles Clippers,Utah Jazz,90,95,0
20,Milwaukee Bucks,Boston Celtics,124,102,0
21,Phoenix Suns,Houston Rockets,95,110,0
22,Seattle Supersonics,Portland Trail Blazers,104,93,0
23,Washington Bullets,Cleveland Cavaliers,96,98,1
24,Los Angeles Lakers,Minnesota Timberwolves,91,85,0
25,New York Knicks,Charlotte Hornets,113,86,0
26,San Antonio Spurs,Denver Nuggets,79,88,0
27,Vancouver Grizzlies,Golden State Warriors,95,105,0
28,Portland Trail Blazers,Atlanta Hawks,76,94,0
29,Utah Jazz,Houston Rockets,72,75,0
30,Chicago Bulls,Vancouver Grizzlies,96,73,0
31,Cleveland Cavaliers,San Antonio Spurs,68,74,0
32,Denver Nuggets,Los Angeles Clippers,78,82,0
33,Golden State Warriors,Portland Trail Blazers,93,111,0
34,New York Knicks,Los Angeles Lakers,92,98,0
35,Philadelphia Sixers,Detroit Pistons,81,83,0
36,Phoenix Suns,Minnesota Timberwolves,95,98,0
37,Sacramento Kings,Houston Rockets,80,102,0
38,Seattle Supersonics,Atlanta Hawks,95,117,0
39,Toronto Raptors,Dallas Mavericks,100,96,0
40,Boston Celtics,Indiana Pacers,94,84,0
41,Charlotte Hornets,Los Angeles Lakers,88,78,0
42,Detroit Pistons,Dallas Mavericks,103,84,0
43,Miami Heat,Chicago Bulls,100,106,0
44,Milwaukee Bucks,Vancouver Grizzlies,105,89,0
45,Washington Bullets,San Antonio Spurs,96,86,0
46,Denver Nuggets,Houston Rockets,108,110,1
47,Golden State Warriors,New York Knicks,100,105,0
48,New Jersey Nets,Orlando Magic,95,108,0
49,Phoenix Suns,Seattle Supersonics,98,103,0
50,Portland Trail Blazers,Minnesota Timberwolves,95,94,1
51,Sacramento Kings,Atlanta Hawks,87,91,0
