,homeTeam,awayTeam,homeScore,awayScore,OT
0,Atlanta Hawks,Detroit Pistons,94,106,0
1,Chicago Bulls,Cleveland Cavaliers,97,95,0
2,Golden State Warriors,New Orleans Pelicans,111,95,0
3,Orlando Magic,Washington Wizards,87,88,0
4,Boston Celtics,Philadelphia Sixers,112,95,0
5,Brooklyn Nets,Chicago Bulls,100,115,0
6,Detroit Pistons,Utah Jazz,92,87,0
7,Miami Heat,Charlotte Hornets,104,94,0
8,Toronto Raptors,Indiana Pacers,106,99,0
9,Houston Rockets,Denver Nuggets,85,105,0
10,Memphis Grizzlies,Cleveland Cavaliers,76,106,0
11,Milwaukee Bucks,New York Knicks,97,122,0
12,Oklahoma City Thunder,San Antonio Spurs,112,106,0
13,Phoenix Suns,Dallas Mavericks,95,111,0
14,Portland Trail Blazers,New Orleans Pelicans,112,94,0
15,Sacramento Kings,Los Angeles Clippers,104,111,0
16,Los Angeles Lakers,Minnesota Timberwolves,111,112,0
17,Indiana Pacers,Memphis Grizzlies,103,112,0
18,New York Knicks,Atlanta Hawks,101,112,0
19,Los Angeles Clippers,Dallas Mavericks,104,88,0
20,Milwaukee Bucks,Washington Wizards,113,118,0
21,San Antonio Spurs,Brooklyn Nets,102,75,0
22,Denver Nuggets,Minnesota Timberwolves,78,95,0
23,Houston Rockets,Golden State Warriors,92,112,0
24,Sacramento Kings,Los Angeles Lakers,132,114,0
25,Phoenix Suns,Portland Trail Blazers,110,92,0
26,Cleveland Cavaliers,Miami Heat,102,92,0
27,Orlando Magic,Oklahoma City Thunder,136,139,1
28,Philadelphia Sixers,Utah Jazz,71,99,0
29,Boston Celtics,Toronto Raptors,103,113,0
30,Detroit Pistons,Chicago Bulls,98,94,1
31,Atlanta Hawks,Charlotte Hornets,97,94,0
32,Indiana Pacers,Utah Jazz,76,97,0
33,Washington Wizards,New York Knicks,110,117,0
34,New Orleans Pelicans,Golden State Warriors,120,134,0
35,Memphis Grizzlies,Brooklyn Nets,101,91,0
36,Portland Trail Blazers,Phoenix Suns,90,101,0
37,Los Angeles Clippers,Sacramento Kings,114,109,0
38,Charlotte Hornets,Atlanta Hawks,92,94,0
39,Boston Celtics,San Antonio Spurs,87,95,0
40,Miami Heat,Houston Rockets,109,89,0
41,Toronto Raptors,Milwaukee Bucks,106,87,0
42,Chicago Bulls,Orlando Magic,92,87,0
43,Oklahoma City Thunder,Denver Nuggets,117,93,0
44,Los Angeles Lakers,Dallas Mavericks,93,103,0
45,Philadelphia Sixers,Cleveland Cavaliers,100,107,0
46,Brooklyn Nets,Milwaukee Bucks,96,103,0
47,New York Knicks,San Antonio Spurs,84,94,0
48,Houston Rockets,Oklahoma City Thunder,110,105,0
49,Minnesota Timberwolves,Portland Trail Blazers,101,106,0
50,Golden State Warriors,Memphis Grizzlies,119,69,0
51,Los Angeles Clippers,Phoenix Suns,102,96,0
52,Charlotte Hornets,Chicago Bulls,130,105,0
53,Detroit Pistons,Indiana Pacers,82,94,0
54,Miami Heat,Atlanta Hawks,92,98,0
55,New Orleans Pelicans,Orlando Magic,94,103,0
