,homeTeam,awayTeam,homeScore,awayScore,OT
0,Los Angeles Lakers,Dallas Mavericks,109,93,0
1,Philadelphia Sixers,Miami Heat,89,74,0
2,San Antonio Spurs,Phoenix Suns,83,82,0
3,Boston Celtics,Miami Heat,98,75,0
4,Chicago Bulls,Washington Wizards,74,99,0
5,Denver Nuggets,San Antonio Spurs,80,72,0
6,Detroit Pistons,Indiana Pacers,87,89,0
7,Golden State Warriors,Dallas Mavericks,87,95,0
8,Minnesota Timberwolves,Milwaukee Bucks,95,89,0
9,New Orleans Hornets,Atlanta Hawks,88,83,1
10,New York Knicks,Orlando Magic,83,85,1
11,Sacramento Kings,Cleveland Cavaliers,106,92,0
12,Toronto Raptors,New Jersey Nets,90,87,0
13,Utah Jazz,Portland Trail Blazers,99,92,0
14,Houston Rockets,Denver Nuggets,102,85,0
15,Orlando Magic,New Orleans Hornets,98,100,0
16,Phoenix Suns,Cleveland Cavaliers,95,86,0
17,Seattle Supersonics,Los Angeles Clippers,109,100,0
18,Chicago Bulls,Atlanta Hawks,100,94,0
19,Indiana Pacers,Milwaukee Bucks,79,93,0
20,Los Angeles Clippers,Seattle Supersonics,105,124,0
21,Memphis Grizzlies,Boston Celtics,91,93,0
22,Miami Heat,Detroit Pistons,81,93,0
23,New Jersey Nets,Minnesota Timberwolves,84,61,0
24,Sacramento Kings,Philadelphia Sixers,100,89,0
25,Toronto Raptors,Washington Wizards,82,79,0
26,Atlanta Hawks,Indiana Pacers,99,103,1
27,Dallas Mavericks,Utah Jazz,127,102,0
28,Denver Nuggets,Sacramento Kings,109,88,0
29,Golden State Warriors,Philadelphia Sixers,104,90,0
30,Houston Rockets,Memphis Grizzlies,71,79,0
31,Milwaukee Bucks,Chicago Bulls,98,68,0
32,Minnesota Timberwolves,Toronto Raptors,73,56,0
33,New Orleans Hornets,Boston Celtics,97,90,0
34,Orlando Magic,Detroit Pistons,85,96,0
35,Phoenix Suns,Los Angeles Lakers,99,103,0
36,Portland Trail Blazers,Cleveland Cavaliers,104,85,0
37,San Antonio Spurs,New York Knicks,86,74,0
38,Washington Wizards,New Jersey Nets,85,98,0
39,Los Angeles Lakers,Golden State Warriors,87,72,0
40,Atlanta Hawks,New Orleans Hornets,90,80,0
41,Chicago Bulls,Houston Rockets,66,98,0
42,Dallas Mavericks,Miami Heat,103,93,0
43,Memphis Grizzlies,San Antonio Spurs,88,80,0
44,Orlando Magic,New York Knicks,68,75,0
45,Portland Trail Blazers,Philadelphia Sixers,83,94,0
46,Utah Jazz,Minnesota Timberwolves,93,88,0
47,Indiana Pacers,Denver Nuggets,71,60,0
48,Milwaukee Bucks,Los Angeles Lakers,107,113,0
49,New Jersey Nets,Houston Rockets,75,86,0
50,San Antonio Spurs,Miami Heat,80,73,0
51,Cleveland Cavaliers,Denver Nuggets,89,93,0
52,Detroit Pistons,Boston Celtics,96,88,0
53,Golden State Warriors,Atlanta Hawks,99,72,0
54,Minnesota Timberwolves,Sacramento Kings,121,125,1
55,New York Knicks,Milwaukee Bucks,90,106,0
56,Orlando Magic,Chicago Bulls,100,106,0
57,Philadelphia Sixers,New Orleans Hornets,99,106,1
58,Portland Trail Blazers,Memphis Grizzlies,93,87,0
59,Utah Jazz,Phoenix Suns,91,80,0
60,Washington Wizards,Dallas Mavericks,100,90,0
61,New Jersey Nets,Indiana Pacers,81,87,0
62,San Antonio Spurs,Los Angeles Lakers,117,120,1
63,Toronto Raptors,Dallas Mavericks,77,71,0
64,Boston Celtics,New Jersey Nets,87,94,0
65,Chicago Bulls,Philadelphia Sixers,85,106,0
66,Denver Nuggets,Los Angeles Clippers,102,104,1
67,Detroit Pistons,Milwaukee Bucks,105,99,0
68,Golden State Warriors,Utah Jazz,95,89,0
69,Indiana Pacers,Cleveland Cavaliers,91,90,0
70,New Orleans Hornets,Los Angeles Lakers,114,95,0
71,New York Knicks,Sacramento Kings,114,111,0
72,Orlando Magic,Minnesota Timberwolves,71,100,0
73,Phoenix Suns,Memphis Grizzlies,96,88,0
74,Seattle Supersonics,Portland Trail Blazers,100,82,0
75,Washington Wizards,Toronto Raptors,86,60,0
76,Cleveland Cavaliers,Washington Wizards,111,98,0
77,Houston Rockets,Orlando Magic,96,86,0
78,Miami Heat,Minnesota Timberwolves,79,88,0
79,Milwaukee Bucks,New York Knicks,90,87,0
80,New Orleans Hornets,Chicago Bulls,106,109,0
81,Portland Trail Blazers,Atlanta Hawks,90,83,0
82,San Antonio Spurs,Dallas Mavericks,78,81,0
83,Utah Jazz,Memphis Grizzlies,96,89,0
84,Boston Celtics,Sacramento Kings,91,82,0
85,Detroit Pistons,New Jersey Nets,98,84,0
86,Philadelphia Sixers,Indiana Pacers,74,85,0
87,Seattle Supersonics,Atlanta Hawks,81,91,0
88,Toronto Raptors,Denver Nuggets,89,76,0
89,Chicago Bulls,Denver Nuggets,97,105,0
90,Cleveland Cavaliers,New York Knicks,94,80,0
91,Golden State Warriors,Phoenix Suns,96,99,0
92,Memphis Grizzlies,Los Angeles Lakers,105,95,0
93,San Antonio Spurs,Utah Jazz,87,78,0
94,Dallas Mavericks,New Orleans Hornets,125,97,0
95,Houston Rockets,Miami Heat,90,70,0
96,Indiana Pacers,Boston Celtics,76,78,0
97,Los Angeles Clippers,Atlanta Hawks,115,103,0
98,Minnesota Timberwolves,Seattle Supersonics,87,89,0
99,Portland Trail Blazers,Toronto Raptors,83,80,0
100,Sacramento Kings,Detroit Pistons,97,91,0
101,Washington Wizards,Philadelphia Sixers,105,112,0
102,Boston Celtics,Chicago Bulls,82,89,0
103,Golden State Warriors,Detroit Pistons,87,85,1
104,Los Angeles Lakers,Toronto Raptors,94,79,0
105,Miami Heat,Cleveland Cavaliers,88,83,0
106,Milwaukee Bucks,Seattle Supersonics,99,104,0
107,New Jersey Nets,San Antonio Spurs,71,85,0
108,New Orleans Hornets,Utah Jazz,96,89,0
109,Orlando Magic,Memphis Grizzlies,97,107,0
110,Phoenix Suns,Atlanta Hawks,94,99,0
111,Chicago Bulls,Minnesota Timberwolves,89,92,1
112,Dallas Mavericks,Houston Rockets,97,86,0
113,Portland Trail Blazers,Sacramento Kings,112,110,1
114,Boston Celtics,Cleveland Cavaliers,91,82,0
115,Denver Nuggets,Orlando Magic,106,101,0
116,Golden State Warriors,Los Angeles Clippers,98,104,0
117,Houston Rockets,Phoenix Suns,90,85,0
118,Indiana Pacers,Seattle Supersonics,101,78,0
119,Los Angeles Lakers,Detroit Pistons,94,89,0
120,Miami Heat,Washington Wizards,105,101,1
121,Minnesota Timberwolves,Utah Jazz,77,85,0
122,New Jersey Nets,New York Knicks,85,80,0
123,Philadelphia Sixers,San Antonio Spurs,100,96,0
124,Sacramento Kings,Toronto Raptors,94,64,0
125,Atlanta Hawks,New Jersey Nets,85,100,0
126,Chicago Bulls,Seattle Supersonics,90,98,0
127,Cleveland Cavaliers,Philadelphia Sixers,91,88,1
128,Los Angeles Clippers,Orlando Magic,95,92,0
129,Memphis Grizzlies,Dallas Mavericks,108,101,1
130,Milwaukee Bucks,Utah Jazz,100,95,0
131,New Orleans Hornets,Portland Trail Blazers,101,79,0
132,New York Knicks,Indiana Pacers,94,95,0
133,Phoenix Suns,Detroit Pistons,91,100,0
134,Washington Wizards,San Antonio Spurs,71,95,0
135,Los Angeles Lakers,Miami Heat,99,77,0
136,Sacramento Kings,Golden State Warriors,106,104,0
137,Toronto Raptors,Houston Rockets,101,97,1
138,Atlanta Hawks,Washington Wizards,97,106,0
139,Dallas Mavericks,Portland Trail Blazers,105,98,0
140,New York Knicks,Boston Celtics,89,86,0
141,Philadelphia Sixers,Houston Rockets,66,74,0
142,Utah Jazz,Orlando Magic,90,88,0
143,Cleveland Cavaliers,Los Angeles Clippers,103,95,0
144,Detroit Pistons,Los Angeles Lakers,106,96,0
145,Milwaukee Bucks,Atlanta Hawks,93,101,0
146,Minnesota Timberwolves,Denver Nuggets,89,76,0
147,New Jersey Nets,New Orleans Hornets,85,88,0
148,Phoenix Suns,Chicago Bulls,95,82,0
149,San Antonio Spurs,Golden State Warriors,94,81,0
150,Seattle Supersonics,Miami Heat,98,105,0
151,Boston Celtics,New Orleans Hornets,73,81,0
152,Denver Nuggets,Milwaukee Bucks,94,86,0
153,Houston Rockets,Golden State Warriors,85,83,0
154,Indiana Pacers,Los Angeles Clippers,91,78,0
155,Memphis Grizzlies,Detroit Pistons,92,99,0
156,New York Knicks,Los Angeles Lakers,83,104,0
157,Portland Trail Blazers,Miami Heat,94,93,0
158,Toronto Raptors,Philadelphia Sixers,75,81,0
159,Utah Jazz,Sacramento Kings,110,118,0
160,Washington Wizards,Cleveland Cavaliers,106,95,0
161,Dallas Mavericks,San Antonio Spurs,95,92,0
162,Phoenix Suns,Orlando Magic,96,89,0
163,Cleveland Cavaliers,Minnesota Timberwolves,83,97,0
164,Denver Nuggets,Washington Wizards,108,87,0
165,Detroit Pistons,New York Knicks,94,85,0
166,Golden State Warriors,Miami Heat,101,91,0
167,Los Angeles Lakers,Chicago Bulls,101,94,0
168,New Orleans Hornets,Indiana Pacers,75,76,0
169,Philadelphia Sixers,Boston Celtics,87,85,0
170,Portland Trail Blazers,Houston Rockets,85,78,0
171,Sacramento Kings,Orlando Magic,122,92,0
172,San Antonio Spurs,Atlanta Hawks,114,75,0
173,Seattle Supersonics,Memphis Grizzlies,97,98,0
174,Utah Jazz,Milwaukee Bucks,99,90,0
175,Atlanta Hawks,Cleveland Cavaliers,92,83,0
176,Dallas Mavericks,Denver Nuggets,115,101,0
177,Minnesota Timberwolves,Los Angeles Clippers,103,91,0
178,New Jersey Nets,Toronto Raptors,80,81,0
179,New York Knicks,Philadelphia Sixers,99,88,0
180,Phoenix Suns,Miami Heat,100,98,0
181,Detroit Pistons,New Orleans Hornets,80,81,0
182,Golden State Warriors,Portland Trail Blazers,78,72,0
183,Los Angeles Lakers,Memphis Grizzlies,121,89,0
184,Sacramento Kings,Chicago Bulls,110,99,0
185,Seattle Supersonics,Washington Wizards,88,85,0
186,Toronto Raptors,Milwaukee Bucks,62,82,0
187,Atlanta Hawks,Detroit Pistons,89,94,0
188,Boston Celtics,New York Knicks,88,94,0
189,Los Angeles Clippers,Houston Rockets,90,105,0
190,Orlando Magic,Indiana Pacers,78,89,0
191,Dallas Mavericks,Chicago Bulls,124,98,0
192,Denver Nuggets,Phoenix Suns,110,80,0
193,Indiana Pacers,Minnesota Timberwolves,98,75,0
194,Miami Heat,New Orleans Hornets,91,87,0
195,Milwaukee Bucks,Philadelphia Sixers,95,91,0
196,Portland Trail Blazers,Washington Wizards,80,81,0
197,Sacramento Kings,Memphis Grizzlies,109,89,0
198,Seattle Supersonics,New Jersey Nets,70,93,0
199,Atlanta Hawks,Toronto Raptors,97,99,1
200,Los Angeles Lakers,Washington Wizards,120,99,0
201,Minnesota Timberwolves,New York Knicks,92,97,0
202,New Orleans Hornets,Cleveland Cavaliers,82,72,0
203,Orlando Magic,Boston Celtics,92,94,0
204,Philadelphia Sixers,Detroit Pistons,90,86,0
205,Phoenix Suns,Dallas Mavericks,121,90,0
206,San Antonio Spurs,Chicago Bulls,109,98,0
207,Utah Jazz,Houston Rockets,83,76,0
208,Indiana Pacers,New York Knicks,93,70,0
209,Los Angeles Clippers,New Jersey Nets,96,102,0
210,Atlanta Hawks,Miami Heat,95,83,0
211,Boston Celtics,Milwaukee Bucks,106,96,0
212,Denver Nuggets,Dallas Mavericks,113,103,0
213,Detroit Pistons,Cleveland Cavaliers,92,88,0
214,Indiana Pacers,Philadelphia Sixers,90,77,0
215,Los Angeles Lakers,San Antonio Spurs,103,87,0
216,Memphis Grizzlies,Minnesota Timberwolves,98,102,0
217,Orlando Magic,Toronto Raptors,86,87,0
218,Phoenix Suns,Golden State Warriors,83,92,0
219,Portland Trail Blazers,New Jersey Nets,97,93,0
220,Sacramento Kings,Houston Rockets,103,74,0
221,Utah Jazz,Seattle Supersonics,98,81,0
222,Cleveland Cavaliers,Memphis Grizzlies,115,122,1
223,Dallas Mavericks,Minnesota Timberwolves,92,88,0
224,Golden State Warriors,San Antonio Spurs,91,89,0
225,Los Angeles Clippers,Denver Nuggets,86,98,0
226,Miami Heat,Toronto Raptors,78,66,0
227,Milwaukee Bucks,Boston Celtics,100,94,0
228,New York Knicks,New Orleans Hornets,79,74,0
229,Philadelphia Sixers,Atlanta Hawks,98,86,0
230,Seattle Supersonics,Houston Rockets,95,88,0
231,Washington Wizards,Detroit Pistons,69,80,0
232,Los Angeles Lakers,Indiana Pacers,99,77,0
233,Sacramento Kings,New Jersey Nets,105,92,0
234,Boston Celtics,Memphis Grizzlies,89,96,0
235,Chicago Bulls,Milwaukee Bucks,97,87,0
236,Los Angeles Clippers,San Antonio Spurs,91,83,0
237,New York Knicks,Detroit Pistons,78,79,1
238,Phoenix Suns,Indiana Pacers,82,89,0
239,Utah Jazz,New Jersey Nets,91,84,0
240,Atlanta Hawks,Milwaukee Bucks,94,106,0
241,Dallas Mavericks,Washington Wizards,97,72,0
242,Denver Nuggets,Cleveland Cavaliers,115,103,0
243,Orlando Magic,New Orleans Hornets,91,100,0
244,Philadelphia Sixers,Toronto Raptors,88,95,0
245,Portland Trail Blazers,Indiana Pacers,97,95,1
246,San Antonio Spurs,Los Angeles Lakers,86,90,0
247,Seattle Supersonics,New York Knicks,95,87,0
248,Toronto Raptors,Boston Celtics,105,95,0
249,Detroit Pistons,Miami Heat,87,73,0
250,Golden State Warriors,Denver Nuggets,109,117,0
251,Houston Rockets,Utah Jazz,107,101,1
252,Los Angeles Clippers,Cleveland Cavaliers,90,80,0
253,New Jersey Nets,Memphis Grizzlies,93,96,0
254,New Orleans Hornets,Orlando Magic,106,91,0
255,Phoenix Suns,Minnesota Timberwolves,79,92,0
256,Dallas Mavericks,Los Angeles Lakers,103,114,0
257,Philadelphia Sixers,Chicago Bulls,83,82,0
258,Boston Celtics,Phoenix Suns,106,110,0
259,Denver Nuggets,Golden State Warriors,98,91,0
260,Memphis Grizzlies,Washington Wizards,92,77,0
261,Miami Heat,Philadelphia Sixers,90,93,0
262,New Jersey Nets,Milwaukee Bucks,93,86,0
