,homeTeam,awayTeam,homeScore,awayScore,OT
0,Cleveland Cavaliers,Boston Celtics,89,108,0
1,Dallas Mavericks,Detroit Pistons,94,87,0
2,Houston Rockets,Atlanta Hawks,89,84,1
3,Los Angeles Lakers,Portland Trail Blazers,98,87,0
4,Minnesota Timberwolves,Philadelphia Sixers,83,74,0
5,New Jersey Nets,Indiana Pacers,103,97,0
6,New York Knicks,Washington Wizards,93,91,0
7,Orlando Magic,Toronto Raptors,114,85,0
8,Phoenix Suns,Denver Nuggets,96,99,0
9,Sacramento Kings,Seattle Supersonics,101,95,0
10,San Antonio Spurs,Los Angeles Clippers,109,98,0
11,Utah Jazz,Milwaukee Bucks,112,119,1
12,Boston Celtics,New Jersey Nets,92,95,0
13,Charlotte Hornets,Cleveland Cavaliers,100,94,0
14,Chicago Bulls,Indiana Pacers,73,98,0
15,Miami Heat,Toronto Raptors,97,92,0
16,Portland Trail Blazers,Golden State Warriors,92,87,0
17,Atlanta Hawks,Washington Wizards,88,98,0
18,Denver Nuggets,Milwaukee Bucks,101,102,0
19,Golden State Warriors,Phoenix Suns,101,107,0
20,Houston Rockets,Los Angeles Clippers,98,92,1
21,Memphis Grizzlies,Detroit Pistons,80,90,0
22,Philadelphia Sixers,Dallas Mavericks,92,99,0
23,Seattle Supersonics,San Antonio Spurs,114,108,0
24,Utah Jazz,Los Angeles Lakers,101,105,0
25,Boston Celtics,Chicago Bulls,96,82,0
26,Charlotte Hornets,New York Knicks,97,93,0
27,Detroit Pistons,New Jersey Nets,102,88,0
28,Indiana Pacers,Orlando Magic,117,107,0
29,Los Angeles Lakers,Phoenix Suns,117,94,0
30,Miami Heat,Cleveland Cavaliers,83,90,0
31,Minnesota Timberwolves,Memphis Grizzlies,111,102,0
32,Toronto Raptors,Dallas Mavericks,109,92,0
33,Atlanta Hawks,Miami Heat,90,83,0
34,Chicago Bulls,New York Knicks,84,79,0
35,Cleveland Cavaliers,Orlando Magic,69,99,0
36,Denver Nuggets,Sacramento Kings,94,106,0
37,Houston Rockets,Minnesota Timberwolves,88,90,0
38,Los Angeles Clippers,Golden State Warriors,108,110,1
39,Milwaukee Bucks,Boston Celtics,105,99,0
40,New Jersey Nets,Charlotte Hornets,95,85,0
41,Portland Trail Blazers,San Antonio Spurs,90,106,0
42,Seattle Supersonics,Utah Jazz,74,91,0
43,Washington Wizards,Philadelphia Sixers,90,76,0
44,Detroit Pistons,Washington Wizards,100,78,0
45,Golden State Warriors,Portland Trail Blazers,96,86,0
46,Los Angeles Lakers,Utah Jazz,100,96,0
47,Memphis Grizzlies,Dallas Mavericks,85,94,0
48,Phoenix Suns,Houston Rockets,100,103,0
49,Sacramento Kings,San Antonio Spurs,103,83,0
50,Toronto Raptors,Indiana Pacers,113,100,0
51,Los Angeles Clippers,Atlanta Hawks,109,86,0
52,Orlando Magic,Seattle Supersonics,119,123,1
53,Cleveland Cavaliers,Sacramento Kings,99,115,0
54,Dallas Mavericks,Charlotte Hornets,110,92,0
55,Houston Rockets,Denver Nuggets,99,93,0
56,Miami Heat,Seattle Supersonics,87,85,1
57,Minnesota Timberwolves,New York Knicks,104,94,0
58,Philadelphia Sixers,Indiana Pacers,77,87,0
59,Phoenix Suns,Memphis Grizzlies,113,101,0
60,Portland Trail Blazers,Utah Jazz,101,83,0
61,San Antonio Spurs,Orlando Magic,104,89,0
62,Boston Celtics,Washington Wizards,104,95,0
63,Chicago Bulls,Detroit Pistons,73,97,0
64,Indiana Pacers,Sacramento Kings,116,104,0
65,Los Angeles Clippers,Memphis Grizzlies,108,92,0
66,New York Knicks,Cleveland Cavaliers,82,64,0
67,Toronto Raptors,Golden State Warriors,109,92,0
68,Utah Jazz,Atlanta Hawks,96,89,0
69,Charlotte Hornets,San Antonio Spurs,95,105,0
70,Dallas Mavericks,Denver Nuggets,105,91,0
71,Houston Rockets,Philadelphia Sixers,77,72,0
72,Milwaukee Bucks,Miami Heat,86,82,0
73,Minnesota Timberwolves,Chicago Bulls,127,74,0
74,New Jersey Nets,Seattle Supersonics,106,94,0
75,Phoenix Suns,Atlanta Hawks,108,80,0
76,Portland Trail Blazers,Los Angeles Clippers,119,101,0
77,Boston Celtics,Seattle Supersonics,104,94,0
78,Denver Nuggets,Houston Rockets,108,81,0
79,Indiana Pacers,New York Knicks,103,95,0
80,Los Angeles Lakers,Memphis Grizzlies,110,86,0
81,Orlando Magic,Sacramento Kings,115,105,0
82,Washington Wizards,Golden State Warriors,100,109,0
83,Chicago Bulls,Charlotte Hornets,85,89,0
84,Dallas Mavericks,Philadelphia Sixers,91,98,0
85,Indiana Pacers,Portland Trail Blazers,105,96,0
86,Los Angeles Clippers,Phoenix Suns,111,102,0
87,Miami Heat,Sacramento Kings,75,90,0
88,Milwaukee Bucks,Minnesota Timberwolves,82,98,0
89,New Jersey Nets,Cleveland Cavaliers,87,84,0
90,New York Knicks,Golden State Warriors,71,90,0
91,San Antonio Spurs,Atlanta Hawks,110,88,0
92,Utah Jazz,Toronto Raptors,96,117,0
93,Denver Nuggets,Toronto Raptors,96,85,0
94,Detroit Pistons,Portland Trail Blazers,98,100,0
95,Los Angeles Lakers,Orlando Magic,108,95,0
96,Washington Wizards,Seattle Supersonics,84,99,0
97,Memphis Grizzlies,Golden State Warriors,79,86,0
98,Utah Jazz,Orlando Magic,105,98,0
99,Denver Nuggets,Chicago Bulls,101,93,0
100,Indiana Pacers,New Jersey Nets,82,91,0
101,Miami Heat,Philadelphia Sixers,76,82,0
102,Minnesota Timberwolves,Cleveland Cavaliers,103,107,0
103,New York Knicks,Portland Trail Blazers,89,82,0
104,Sacramento Kings,Toronto Raptors,95,86,0
105,San Antonio Spurs,Houston Rockets,90,86,0
106,Seattle Supersonics,Phoenix Suns,91,92,0
107,Atlanta Hawks,Utah Jazz,111,79,0
108,Boston Celtics,Indiana Pacers,101,93,0
109,Cleveland Cavaliers,Dallas Mavericks,94,107,0
110,Golden State Warriors,Toronto Raptors,82,89,0
111,Los Angeles Clippers,Chicago Bulls,106,102,0
112,Philadelphia Sixers,Charlotte Hornets,100,86,0
113,Phoenix Suns,Orlando Magic,92,93,0
114,Washington Wizards,Milwaukee Bucks,98,107,0
115,Denver Nuggets,Orlando Magic,82,101,0
116,Detroit Pistons,Dallas Mavericks,115,89,0
117,Houston Rockets,Los Angeles Lakers,97,98,1
118,Memphis Grizzlies,Portland Trail Blazers,85,101,0
119,New York Knicks,Miami Heat,83,74,0
120,Indiana Pacers,Minnesota Timberwolves,113,120,1
121,Los Angeles Clippers,Toronto Raptors,85,94,0
122,Miami Heat,Charlotte Hornets,87,96,0
123,New Jersey Nets,New York Knicks,109,83,0
124,Philadelphia Sixers,Atlanta Hawks,98,78,0
125,Phoenix Suns,Los Angeles Lakers,95,83,0
126,Sacramento Kings,Chicago Bulls,105,71,0
127,San Antonio Spurs,Cleveland Cavaliers,105,91,0
128,Seattle Supersonics,Golden State Warriors,100,91,0
129,Washington Wizards,Utah Jazz,92,101,0
130,Atlanta Hawks,Boston Celtics,112,103,0
131,Charlotte Hornets,Portland Trail Blazers,87,97,0
132,Detroit Pistons,Indiana Pacers,104,98,0
133,Golden State Warriors,Chicago Bulls,93,88,0
134,Houston Rockets,Dallas Mavericks,124,87,0
135,Memphis Grizzlies,Cleveland Cavaliers,98,93,0
136,Milwaukee Bucks,Utah Jazz,104,93,0
137,Minnesota Timberwolves,Orlando Magic,103,95,0
138,New Jersey Nets,Philadelphia Sixers,82,94,0
139,Seattle Supersonics,Denver Nuggets,93,103,0
140,Los Angeles Clippers,New York Knicks,99,86,0
141,Los Angeles Lakers,Sacramento Kings,93,85,0
142,Phoenix Suns,Toronto Raptors,81,87,0
143,Denver Nuggets,New Jersey Nets,99,96,1
144,Sacramento Kings,Houston Rockets,113,77,0
145,Dallas Mavericks,Seattle Supersonics,97,105,0
146,Golden State Warriors,New York Knicks,70,94,0
147,Indiana Pacers,Atlanta Hawks,106,102,0
148,Los Angeles Lakers,Los Angeles Clippers,98,93,0
149,Miami Heat,Minnesota Timberwolves,73,80,0
150,Portland Trail Blazers,Houston Rockets,87,94,0
151,Toronto Raptors,Detroit Pistons,84,88,0
152,Washington Wizards,Charlotte Hornets,88,95,0
153,Boston Celtics,Atlanta Hawks,85,92,0
154,Charlotte Hornets,Dallas Mavericks,78,89,0
155,Cleveland Cavaliers,Memphis Grizzlies,101,94,0
156,Denver Nuggets,Los Angeles Lakers,68,89,0
157,Milwaukee Bucks,Chicago Bulls,96,92,0
158,Orlando Magic,Minnesota Timberwolves,117,106,0
159,Philadelphia Sixers,Detroit Pistons,94,89,0
160,Phoenix Suns,New York Knicks,96,72,0
161,Sacramento Kings,Portland Trail Blazers,95,83,0
162,San Antonio Spurs,Seattle Supersonics,110,93,0
163,Utah Jazz,New Jersey Nets,89,90,1
164,Indiana Pacers,Washington Wizards,110,103,0
