,homeTeam,awayTeam,homeScore,awayScore,OT
116,San Antonio Spurs,Golden State Warriors,92,112,0
117,Portland Trail Blazers,Los Angeles Lakers,113,110,0
118,Detroit Pistons,Milwaukee Bucks,105,96,0
119,Orlando Magic,Chicago Bulls,83,105,0
120,Philadelphia Sixers,Indiana Pacers,121,110,0
121,Washington Wizards,Cleveland Cavaliers,122,130,0
122,Atlanta Hawks,Houston Rockets,104,119,0
123,New York Knicks,Phoenix Suns,120,107,0
124,Dallas Mavericks,New Orleans Pelicans,94,99,0
125,San Antonio Spurs,Charlotte Hornets,108,101,0
126,Denver Nuggets,Miami Heat,95,94,0
127,Utah Jazz,Toronto Raptors,100,109,0
128,Oklahoma City Thunder,Boston Celtics,94,101,0
129,Los Angeles Lakers,Brooklyn Nets,124,112,0
130,Los Angeles Clippers,Memphis Grizzlies,104,113,0
131,Detroit Pistons,Sacramento Kings,108,99,0
132,Chicago Bulls,New Orleans Pelicans,90,96,1
133,Minnesota Timberwolves,Dallas Mavericks,112,99,0
134,Denver Nuggets,Golden State Warriors,108,127,0
135,Cleveland Cavaliers,Atlanta Hawks,115,117,0
136,Los Angeles Clippers,Miami Heat,101,104,0
137,Orlando Magic,Boston Celtics,88,104,0
138,Toronto Raptors,Washington Wizards,96,107,0
139,Houston Rockets,Utah Jazz,137,110,0
140,San Antonio Spurs,Phoenix Suns,112,95,0
141,New York Knicks,Indiana Pacers,108,101,0
142,Minnesota Timberwolves,Charlotte Hornets,112,94,0
143,Portland Trail Blazers,Oklahoma City Thunder,103,99,0
144,Los Angeles Lakers,Memphis Grizzlies,107,102,0
145,Atlanta Hawks,Boston Celtics,107,110,0
146,Phoenix Suns,Brooklyn Nets,92,98,0
147,Golden State Warriors,Miami Heat,97,80,0
148,Toronto Raptors,Chicago Bulls,119,114,0
149,San Antonio Spurs,Los Angeles Clippers,120,107,0
150,Denver Nuggets,Brooklyn Nets,112,104,0
151,Utah Jazz,Philadelphia Sixers,97,104,0
152,Portland Trail Blazers,Memphis Grizzlies,97,98,0
153,Sacramento Kings,Oklahoma City Thunder,94,86,0
154,Cleveland Cavaliers,Milwaukee Bucks,124,119,0
155,Indiana Pacers,New Orleans Pelicans,112,117,0
156,Washington Wizards,Dallas Mavericks,99,113,0
157,New York Knicks,Charlotte Hornets,118,113,0
158,Detroit Pistons,Indiana Pacers,114,97,0
159,Orlando Magic,New York Knicks,112,99,0
160,Boston Celtics,Los Angeles Lakers,107,96,0
161,Phoenix Suns,Miami Heat,115,126,0
162,Golden State Warriors,Minnesota Timberwolves,125,101,0
163,Washington Wizards,Los Angeles Lakers,111,95,0
164,Toronto Raptors,New Orleans Pelicans,122,118,0
165,Houston Rockets,Cleveland Cavaliers,117,113,0
166,Sacramento Kings,Philadelphia Sixers,109,108,0
167,Denver Nuggets,Oklahoma City Thunder,102,94,0
168,Detroit Pistons,Atlanta Hawks,111,104,0
169,Boston Celtics,Charlotte Hornets,90,87,0
170,Chicago Bulls,Indiana Pacers,87,105,0
171,Oklahoma City Thunder,Los Angeles Clippers,120,111,0
172,San Antonio Spurs,Milwaukee Bucks,87,94,0
173,Phoenix Suns,Orlando Magic,112,128,0
174,Utah Jazz,Miami Heat,74,84,0
175,Portland Trail Blazers,Brooklyn Nets,97,101,0
176,Washington Wizards,Atlanta Hawks,113,94,0
177,New Orleans Pelicans,Los Angeles Clippers,111,103,0
178,New York Knicks,Sacramento Kings,118,91,0
179,Houston Rockets,Memphis Grizzlies,111,96,0
180,Dallas Mavericks,Cleveland Cavaliers,104,111,0
181,Milwaukee Bucks,Los Angeles Lakers,98,90,0
182,San Antonio Spurs,Chicago Bulls,133,94,0
183,Golden State Warriors,Philadelphia Sixers,135,114,0
184,Denver Nuggets,Orlando Magic,125,107,0
185,Phoenix Suns,Minnesota Timberwolves,118,110,0
186,Utah Jazz,Brooklyn Nets,114,106,0
187,Boston Celtics,Toronto Raptors,95,94,0
188,Detroit Pistons,Miami Heat,112,103,0
189,Indiana Pacers,Houston Rockets,95,118,0
190,Oklahoma City Thunder,Dallas Mavericks,112,99,0
191,Washington Wizards,Sacramento Kings,110,92,0
192,New York Knicks,Cleveland Cavaliers,101,104,0
193,Milwaukee Bucks,Memphis Grizzlies,110,103,0
194,New Orleans Pelicans,Atlanta Hawks,106,105,0
195,Phoenix Suns,Los Angeles Lakers,93,100,0
196,Utah Jazz,Minnesota Timberwolves,98,109,0
197,Portland Trail Blazers,Denver Nuggets,99,82,0
198,Golden State Warriors,Orlando Magic,110,100,0
199,Los Angeles Clippers,Philadelphia Sixers,105,109,0
200,Brooklyn Nets,Boston Celtics,102,109,0
201,Houston Rockets,Toronto Raptors,113,129,0
202,Dallas Mavericks,San Antonio Spurs,91,97,0
203,Atlanta Hawks,Sacramento Kings,126,80,0
204,Miami Heat,Washington Wizards,93,102,0
205,New York Knicks,Utah Jazz,106,101,0
206,Charlotte Hornets,Cleveland Cavaliers,107,115,0
207,Memphis Grizzlies,Indiana Pacers,113,116,0
208,Milwaukee Bucks,Detroit Pistons,99,95,0
209,Minnesota Timberwolves,San Antonio Spurs,98,86,0
210,New Orleans Pelicans,Toronto Raptors,116,125,0
211,Oklahoma City Thunder,Chicago Bulls,92,79,0
212,Portland Trail Blazers,Orlando Magic,99,94,0
213,Los Angeles Lakers,Philadelphia Sixers,109,115,0
214,Boston Celtics,Golden State Warriors,92,88,0
215,Phoenix Suns,Houston Rockets,116,142,0
216,Indiana Pacers,Detroit Pistons,107,100,0
217,Washington Wizards,Miami Heat,88,91,0
218,Brooklyn Nets,Utah Jazz,118,107,0
219,Cleveland Cavaliers,Los Angeles Clippers,118,113,1
220,Toronto Raptors,New York Knicks,107,84,0
221,Chicago Bulls,Charlotte Hornets,123,120,0
222,San Antonio Spurs,Oklahoma City Thunder,104,101,0
223,Dallas Mavericks,Minnesota Timberwolves,87,111,0
224,Sacramento Kings,Portland Trail Blazers,86,82,0
225,Denver Nuggets,New Orleans Pelicans,146,114,0
226,Los Angeles Lakers,Phoenix Suns,113,122,0
227,Charlotte Hornets,Los Angeles Clippers,102,87,0
228,Orlando Magic,Utah Jazz,85,125,0
229,Atlanta Hawks,Boston Celtics,99,110,0
230,Philadelphia Sixers,Golden State Warriors,116,124,0
231,Memphis Grizzlies,Houston Rockets,83,105,0
232,Dallas Mavericks,Milwaukee Bucks,111,79,0
233,Portland Trail Blazers,Sacramento Kings,102,90,0
234,Miami Heat,Indiana Pacers,95,120,0
235,Brooklyn Nets,Golden State Warriors,111,118,0
236,Toronto Raptors,Washington Wizards,100,91,0
237,Minnesota Timberwolves,Detroit Pistons,97,100,0
238,Phoenix Suns,Chicago Bulls,113,105,0
239,Los Angeles Lakers,Denver Nuggets,127,109,0
240,Charlotte Hornets,Minnesota Timberwolves,118,102,0
241,Detroit Pistons,Cleveland Cavaliers,88,116,0
242,Orlando Magic,Indiana Pacers,97,105,0
243,Philadelphia Sixers,Utah Jazz,107,86,0
244,New York Knicks,Los Angeles Clippers,107,85,0
245,Memphis Grizzlies,Portland Trail Blazers,92,100,0
246,Milwaukee Bucks,Washington Wizards,88,99,0
247,New Orleans Pelicans,Oklahoma City Thunder,114,107,0
248,Dallas Mavericks,Boston Celtics,102,110,1
249,San Antonio Spurs,Atlanta Hawks,96,85,0
250,Sacramento Kings,Denver Nuggets,98,114,0
251,Los Angeles Lakers,Chicago Bulls,103,94,0
252,Charlotte Hornets,Washington Wizards,129,124,1
253,Cleveland Cavaliers,Brooklyn Nets,119,109,0
254,Philadelphia Sixers,Portland Trail Blazers,101,81,0
255,Atlanta Hawks,Los Angeles Clippers,103,116,0
256,Miami Heat,Boston Celtics,104,98,0
257,New York Knicks,Toronto Raptors,108,100,0
258,Houston Rockets,Denver Nuggets,125,95,0
259,Memphis Grizzlies,Dallas Mavericks,94,95,0
260,Minnesota Timberwolves,Orlando Magic,124,118,0
261,New Orleans Pelicans,San Antonio Spurs,107,90,0
262,Oklahoma City Thunder,Golden State Warriors,108,91,0
263,Phoenix Suns,Milwaukee Bucks,107,113,1
264,Utah Jazz,Chicago Bulls,110,80,0
265,Sacramento Kings,Los Angeles Lakers,113,102,0
266,Brooklyn Nets,Portland Trail Blazers,125,127,0
267,Atlanta Hawks,New York Knicks,116,104,0
268,Boston Celtics,Orlando Magic,118,103,0
269,Cleveland Cavaliers,Charlotte Hornets,100,99,0
270,Indiana Pacers,Toronto Raptors,107,104,0
271,Minnesota Timberwolves,Miami Heat,97,109,0
272,Oklahoma City Thunder,Detroit Pistons,98,99,0
273,Denver Nuggets,Memphis Grizzlies,104,92,0
274,Phoenix Suns,New Orleans Pelicans,91,115,0
275,Golden State Warriors,Chicago Bulls,143,94,0
276,Charlotte Hornets,San Antonio Spurs,86,106,0
277,Philadelphia Sixers,Orlando Magic,130,111,0
278,Washington Wizards,Portland Trail Blazers,105,108,0
279,Atlanta Hawks,Toronto Raptors,78,112,0
280,Indiana Pacers,Boston Celtics,98,108,0
281,Houston Rockets,New York Knicks,117,102,0
282,Dallas Mavericks,Oklahoma City Thunder,97,81,0
283,Golden State Warriors,New Orleans Pelicans,110,95,0
284,Utah Jazz,Milwaukee Bucks,121,108,0
285,Sacramento Kings,Los Angeles Clippers,95,97,0
286,Chicago Bulls,Miami Heat,93,100,0
287,Minnesota Timberwolves,Phoenix Suns,119,108,0
288,Memphis Grizzlies,Brooklyn Nets,88,98,0
289,Indiana Pacers,Orlando Magic,121,109,0
290,Philadelphia Sixers,Cleveland Cavaliers,91,113,0
291,Boston Celtics,Detroit Pistons,108,118,0
292,New York Knicks,Portland Trail Blazers,91,103,0
293,Houston Rockets,Brooklyn Nets,117,103,0
294,San Antonio Spurs,Dallas Mavericks,115,108,0
295,Golden State Warriors,Sacramento Kings,106,110,0
296,Los Angeles Clippers,Los Angeles Lakers,120,115,0
297,Cleveland Cavaliers,Miami Heat,108,97,0
298,Chicago Bulls,Phoenix Suns,99,104,0
299,Minnesota Timberwolves,Washington Wizards,89,92,0
300,Utah Jazz,Denver Nuggets,106,77,0
301,Sacramento Kings,Milwaukee Bucks,87,112,0
302,Detroit Pistons,Phoenix Suns,131,107,0
303,Orlando Magic,Oklahoma City Thunder,121,108,0
304,Philadelphia Sixers,Washington Wizards,118,113,0
305,New York Knicks,Miami Heat,115,86,0
306,Toronto Raptors,Charlotte Hornets,126,113,0
307,Houston Rockets,Indiana Pacers,118,97,0
308,New Orleans Pelicans,Minnesota Timberwolves,102,120,0
309,Dallas Mavericks,Brooklyn Nets,104,109,0
310,San Antonio Spurs,Memphis Grizzlies,104,95,0
311,Los Angeles Lakers,Golden State Warriors,123,127,1
312,Atlanta Hawks,Cleveland Cavaliers,114,121,0
313,Boston Celtics,Philadelphia Sixers,108,97,0
314,Denver Nuggets,Chicago Bulls,111,110,0
315,Portland Trail Blazers,Milwaukee Bucks,91,103,0
316,Los Angeles Clippers,Utah Jazz,107,126,0
317,Orlando Magic,Golden State Warriors,112,133,0
318,Washington Wizards,Detroit Pistons,109,91,0
319,Toronto Raptors,Indiana Pacers,120,115,0
320,Miami Heat,Charlotte Hornets,105,100,0
321,Chicago Bulls,Sacramento Kings,106,107,0
322,Memphis Grizzlies,San Antonio Spurs,79,95,0
323,Oklahoma City Thunder,Minnesota Timberwolves,111,107,0
324,Utah Jazz,New Orleans Pelicans,114,108,0
325,Boston Celtics,Phoenix Suns,116,111,0
326,Dallas Mavericks,Los Angeles Clippers,108,82,0
327,Brooklyn Nets,Atlanta Hawks,102,114,0
328,Cleveland Cavaliers,Memphis Grizzlies,116,111,0
329,Philadelphia Sixers,Detroit Pistons,108,103,0
330,Milwaukee Bucks,Sacramento Kings,109,104,0
331,Denver Nuggets,Los Angeles Lakers,115,100,0
332,Portland Trail Blazers,New Orleans Pelicans,116,123,0
333,New York Knicks,Orlando Magic,100,105,0
334,Miami Heat,Golden State Warriors,95,123,0
335,Minnesota Timberwolves,Los Angeles Clippers,112,106,0
336,Oklahoma City Thunder,San Antonio Spurs,90,87,0
337,Los Angeles Lakers,Houston Rockets,95,118,0
338,Charlotte Hornets,Orlando Magic,104,94,0
339,Indiana Pacers,New York Knicks,115,97,0
340,Philadelphia Sixers,Phoenix Suns,101,115,0
341,Atlanta Hawks,Brooklyn Nets,90,110,0
342,Boston Celtics,Milwaukee Bucks,111,100,0
343,Chicago Bulls,Cleveland Cavaliers,91,113,0
344,Memphis Grizzlies,Minnesota Timberwolves,95,92,0
345,New Orleans Pelicans,Golden State Warriors,115,125,0
346,Dallas Mavericks,Denver Nuggets,122,105,0
347,San Antonio Spurs,Detroit Pistons,96,93,0
348,Utah Jazz,Washington Wizards,116,69,0
349,Toronto Raptors,Phoenix Suns,126,113,0
350,Oklahoma City Thunder,Utah Jazz,100,94,0
351,Portland Trail Blazers,Washington Wizards,92,106,0
352,Cleveland Cavaliers,Sacramento Kings,101,95,0
353,Indiana Pacers,Chicago Bulls,98,96,0
354,Orlando Magic,Atlanta Hawks,110,106,1
355,Boston Celtics,Dallas Mavericks,97,90,0
356,New York Knicks,Memphis Grizzlies,99,88,0
357,Charlotte Hornets,Golden State Warriors,87,101,0
358,Milwaukee Bucks,Detroit Pistons,104,100,0
359,New Orleans Pelicans,Denver Nuggets,123,114,0
360,San Antonio Spurs,Miami Heat,117,105,0
361,Los Angeles Clippers,Minnesota Timberwolves,107,113,0
362,Philadelphia Sixers,Los Angeles Lakers,104,107,0
363,Phoenix Suns,Washington Wizards,99,109,0
364,Brooklyn Nets,Oklahoma City Thunder,100,95,0
365,Utah Jazz,Houston Rockets,101,112,0
366,Charlotte Hornets,Chicago Bulls,111,119,1
367,Detroit Pistons,Golden State Warriors,98,102,0
368,Indiana Pacers,Cleveland Cavaliers,106,102,0
369,Orlando Magic,Denver Nuggets,89,103,0
370,Memphis Grizzlies,Toronto Raptors,107,116,0
371,Milwaukee Bucks,Dallas Mavericks,109,102,0
372,New Orleans Pelicans,Sacramento Kings,109,116,1
373,San Antonio Spurs,Boston Celtics,105,102,0
374,Los Angeles Clippers,Washington Wizards,113,112,0
375,Brooklyn Nets,Miami Heat,89,101,0
376,Charlotte Hornets,Los Angeles Lakers,99,110,0
377,Atlanta Hawks,Orlando Magic,117,110,0
378,Cleveland Cavaliers,Philadelphia Sixers,105,98,0
379,Chicago Bulls,New York Knicks,104,102,0
380,Milwaukee Bucks,Utah Jazz,117,100,0
381,Memphis Grizzlies,Oklahoma City Thunder,101,102,1
382,Phoenix Suns,San Antonio Spurs,101,104,0
383,Portland Trail Blazers,Houston Rockets,117,124,0
384,Sacramento Kings,Toronto Raptors,87,102,0
385,Detroit Pistons,Boston Celtics,81,91,0
386,Indiana Pacers,Denver Nuggets,126,116,1
387,Minnesota Timberwolves,Dallas Mavericks,97,92,0
388,New Orleans Pelicans,Philadelphia Sixers,131,124,0
389,New York Knicks,Atlanta Hawks,111,107,0
390,Chicago Bulls,Boston Celtics,108,85,0
391,Houston Rockets,New Orleans Pelicans,130,123,0
392,Memphis Grizzlies,Miami Heat,82,107,0
393,Oklahoma City Thunder,Charlotte Hornets,103,116,0
394,Golden State Warriors,Portland Trail Blazers,111,104,0
395,Los Angeles Clippers,Toronto Raptors,96,91,0
396,Cleveland Cavaliers,Atlanta Hawks,123,114,0
397,Detroit Pistons,Denver Nuggets,84,103,0
398,New York Knicks,Los Angeles Lakers,113,109,1
399,Brooklyn Nets,Washington Wizards,103,98,0
400,Minnesota Timberwolves,Philadelphia Sixers,112,118,1
401,Dallas Mavericks,San Antonio Spurs,95,89,0
402,Sacramento Kings,Phoenix Suns,99,92,0
403,Chicago Bulls,Utah Jazz,103,100,0
404,New Orleans Pelicans,Milwaukee Bucks,115,108,0
405,Phoenix Suns,Toronto Raptors,109,115,0
406,Houston Rockets,Charlotte Hornets,108,96,0
407,Indiana Pacers,Oklahoma City Thunder,95,100,0
408,Orlando Magic,Los Angeles Clippers,95,106,0
409,Washington Wizards,Memphis Grizzlies,93,87,0
410,Boston Celtics,Denver Nuggets,124,118,0
411,Miami Heat,Portland Trail Blazers,95,102,0
412,Atlanta Hawks,Detroit Pistons,91,105,0
413,Brooklyn Nets,New York Knicks,104,111,0
414,Cleveland Cavaliers,Los Angeles Lakers,121,112,0
415,Minnesota Timberwolves,Sacramento Kings,119,96,0
416,Golden State Warriors,Dallas Mavericks,112,97,0
417,Charlotte Hornets,Miami Heat,98,104,0
418,Indiana Pacers,Detroit Pistons,98,104,0
419,Orlando Magic,Portland Trail Blazers,88,95,0
420,Philadelphia Sixers,Oklahoma City Thunder,117,119,1
421,Washington Wizards,Los Angeles Clippers,100,91,0
422,Boston Celtics,Utah Jazz,95,107,0
423,Toronto Raptors,Brooklyn Nets,120,87,0
424,Memphis Grizzlies,Atlanta Hawks,96,94,0
425,Milwaukee Bucks,Chicago Bulls,109,115,0
426,Denver Nuggets,New Orleans Pelicans,117,111,1
427,Houston Rockets,San Antonio Spurs,124,109,0
428,Charlotte Hornets,Portland Trail Blazers,91,93,0
429,Cleveland Cavaliers,Utah Jazz,109,100,0
430,New York Knicks,Oklahoma City Thunder,111,96,0
431,Miami Heat,Los Angeles Clippers,90,85,0
432,Houston Rockets,Milwaukee Bucks,115,111,0
433,Minnesota Timberwolves,Phoenix Suns,106,108,0
434,San Antonio Spurs,Dallas Mavericks,98,96,0
435,Memphis Grizzlies,Boston Celtics,93,102,0
436,Toronto Raptors,Sacramento Kings,108,93,0
437,Detroit Pistons,Orlando Magic,114,110,0
438,Brooklyn Nets,Indiana Pacers,97,109,0
439,Washington Wizards,Cleveland Cavaliers,99,106,0
440,Charlotte Hornets,New York Knicks,109,91,0
441,Indiana Pacers,Boston Celtics,111,112,0
442,Atlanta Hawks,Miami Heat,110,104,0
443,Chicago Bulls,Philadelphia Sixers,117,115,0
444,Houston Rockets,Utah Jazz,120,99,0
445,Minnesota Timberwolves,Portland Trail Blazers,108,107,0
446,Oklahoma City Thunder,Denver Nuggets,95,94,0
447,Dallas Mavericks,Phoenix Suns,91,97,0
448,San Antonio Spurs,Los Angeles Clippers,109,91,0
449,Los Angeles Lakers,Golden State Warriors,114,116,1
450,Philadelphia Sixers,Sacramento Kings,95,101,0
451,Washington Wizards,New Orleans Pelicans,116,106,0
452,Milwaukee Bucks,Cleveland Cavaliers,119,116,0
453,Charlotte Hornets,Toronto Raptors,111,129,0
454,Atlanta Hawks,Indiana Pacers,95,105,0
455,Boston Celtics,Miami Heat,89,90,0
456,Brooklyn Nets,Sacramento Kings,99,104,0
457,Chicago Bulls,Orlando Magic,112,94,0
458,Houston Rockets,Los Angeles Lakers,116,122,0
459,Oklahoma City Thunder,Utah Jazz,107,79,0
460,Dallas Mavericks,Detroit Pistons,110,93,0
461,Denver Nuggets,Minnesota Timberwolves,104,112,0
462,Portland Trail Blazers,San Antonio Spurs,91,93,0
463,Golden State Warriors,Memphis Grizzlies,97,84,0
464,Los Angeles Clippers,Phoenix Suns,108,95,0
465,Cleveland Cavaliers,Chicago Bulls,115,112,0
466,Philadelphia Sixers,Toronto Raptors,109,114,0
467,New York Knicks,Boston Celtics,102,93,0
468,Phoenix Suns,Memphis Grizzlies,97,95,0
469,Utah Jazz,San Antonio Spurs,100,89,0
470,Detroit Pistons,New York Knicks,104,101,0
471,Orlando Magic,New Orleans Pelicans,97,111,0
472,Brooklyn Nets,Washington Wizards,119,84,0
473,Miami Heat,Dallas Mavericks,113,101,0
474,Houston Rockets,Los Angeles Clippers,118,128,0
475,Milwaukee Bucks,Charlotte Hornets,109,104,0
476,Oklahoma City Thunder,Atlanta Hawks,120,117,0
477,Portland Trail Blazers,Denver Nuggets,85,102,0
478,Golden State Warriors,Los Angeles Lakers,113,106,0
479,Toronto Raptors,Philadelphia Sixers,102,86,0
480,Charlotte Hornets,Milwaukee Bucks,111,106,0
481,Indiana Pacers,Brooklyn Nets,123,119,1
482,Washington Wizards,Orlando Magic,130,103,0
483,Atlanta Hawks,Dallas Mavericks,112,107,0
484,Boston Celtics,Chicago Bulls,117,92,0
485,Miami Heat,New Orleans Pelicans,94,109,0
486,Memphis Grizzlies,Los Angeles Clippers,115,112,0
487,Utah Jazz,Oklahoma City Thunder,89,103,0
488,Golden State Warriors,Denver Nuggets,81,96,0
489,Phoenix Suns,Minnesota Timberwolves,106,115,0
490,Los Angeles Lakers,Portland Trail Blazers,92,95,0
491,Sacramento Kings,San Antonio Spurs,99,108,0
492,New York Knicks,Philadelphia Sixers,98,105,0
493,Golden State Warriors,Cleveland Cavaliers,99,92,0
494,Boston Celtics,Washington Wizards,103,111,0
495,Oklahoma City Thunder,Houston Rockets,112,107,0
496,Los Angeles Lakers,Minnesota Timberwolves,104,121,0
497,Detroit Pistons,Indiana Pacers,107,83,0
498,Dallas Mavericks,Toronto Raptors,98,93,0
499,Miami Heat,Orlando Magic,107,89,0
500,Milwaukee Bucks,Chicago Bulls,106,115,0
501,San Antonio Spurs,Brooklyn Nets,109,97,0
502,Denver Nuggets,Utah Jazz,107,83,0
503,Phoenix Suns,Memphis Grizzlies,99,97,0
504,Los Angeles Clippers,Sacramento Kings,122,95,0
505,Charlotte Hornets,Boston Celtics,91,102,0
506,Indiana Pacers,Dallas Mavericks,94,98,0
507,Atlanta Hawks,Washington Wizards,113,99,0
508,Chicago Bulls,New York Knicks,92,87,0
509,Minnesota Timberwolves,Denver Nuggets,128,125,1
510,New Orleans Pelicans,Brooklyn Nets,128,113,0
