,homeTeam,awayTeam,homeScore,awayScore,OT
0,Atlanta Hawks,Cleveland Cavaliers,100,83,0
1,Boston Celtics,Toronto Raptors,92,103,0
2,Charlotte Hornets,Philadelphia Sixers,66,78,0
3,Denver Nuggets,Minnesota Timberwolves,92,110,0
4,Indiana Pacers,Washington Wizards,96,81,0
5,Los Angeles Clippers,Phoenix Suns,92,101,0
6,Los Angeles Lakers,Houston Rockets,99,91,0
7,Miami Heat,Detroit Pistons,81,95,0
8,Orlando Magic,New York Knicks,93,85,0
9,San Antonio Spurs,Sacramento Kings,101,83,0
10,Seattle Supersonics,Dallas Mavericks,92,86,1
11,Utah Jazz,Chicago Bulls,104,96,0
12,Atlanta Hawks,New Jersey Nets,111,106,0
13,Boston Celtics,Cleveland Cavaliers,77,73,0
14,Charlotte Hornets,Milwaukee Bucks,107,113,1
15,Golden State Warriors,Houston Rockets,84,86,0
16,Philadelphia Sixers,Orlando Magic,95,75,0
17,San Antonio Spurs,Minnesota Timberwolves,96,82,0
18,Washington Wizards,Toronto Raptors,98,97,0
19,Detroit Pistons,Indiana Pacers,107,98,0
20,Golden State Warriors,Dallas Mavericks,99,102,1
21,Los Angeles Clippers,Chicago Bulls,84,89,0
22,Los Angeles Lakers,Utah Jazz,91,100,0
23,New Jersey Nets,Atlanta Hawks,79,69,0
24,New York Knicks,Miami Heat,79,83,0
25,Phoenix Suns,Denver Nuggets,115,108,0
26,Sacramento Kings,Vancouver Grizzlies,109,87,0
27,Seattle Supersonics,Portland Trail Blazers,91,88,0
28,Charlotte Hornets,Miami Heat,94,91,0
29,Cleveland Cavaliers,Indiana Pacers,89,95,0
30,Detroit Pistons,Washington Wizards,106,103,0
31,Houston Rockets,Denver Nuggets,99,80,0
32,Orlando Magic,Boston Celtics,107,90,0
33,San Antonio Spurs,Los Angeles Lakers,75,80,0
34,Vancouver Grizzlies,Portland Trail Blazers,76,95,0
35,Chicago Bulls,Atlanta Hawks,71,87,0
36,Dallas Mavericks,Utah Jazz,79,90,0
37,Miami Heat,Boston Celtics,101,108,0
38,Minnesota Timberwolves,San Antonio Spurs,74,70,0
39,Philadelphia Sixers,Detroit Pistons,90,86,0
40,Phoenix Suns,Sacramento Kings,95,112,0
41,Seattle Supersonics,Golden State Warriors,90,71,0
42,Toronto Raptors,Milwaukee Bucks,77,91,0
43,Charlotte Hornets,Cleveland Cavaliers,77,87,0
44,Denver Nuggets,Los Angeles Lakers,98,103,0
45,Golden State Warriors,Seattle Supersonics,82,89,0
46,Houston Rockets,Sacramento Kings,92,82,0
47,New Jersey Nets,Orlando Magic,81,89,0
48,New York Knicks,Washington Wizards,101,88,0
49,Portland Trail Blazers,Indiana Pacers,100,92,0
50,Vancouver Grizzlies,Los Angeles Clippers,105,99,0
51,Atlanta Hawks,Charlotte Hornets,100,88,0
52,Chicago Bulls,New York Knicks,68,73,0
53,Cleveland Cavaliers,San Antonio Spurs,99,89,0
54,Dallas Mavericks,Houston Rockets,95,105,0
55,Detroit Pistons,Orlando Magic,81,87,0
56,Miami Heat,Toronto Raptors,102,84,0
57,Milwaukee Bucks,New Jersey Nets,95,75,0
58,Minnesota Timberwolves,Los Angeles Lakers,86,75,0
59,Phoenix Suns,Utah Jazz,74,82,0
60,Vancouver Grizzlies,Indiana Pacers,97,101,0
61,Denver Nuggets,Dallas Mavericks,100,94,0
62,Golden State Warriors,Utah Jazz,81,97,0
63,Philadelphia Sixers,San Antonio Spurs,94,98,0
64,Phoenix Suns,Los Angeles Clippers,107,104,1
65,Seattle Supersonics,Denver Nuggets,105,92,0
66,Chicago Bulls,San Antonio Spurs,76,89,0
67,Golden State Warriors,Portland Trail Blazers,105,100,1
68,Los Angeles Clippers,Minnesota Timberwolves,73,95,0
69,Los Angeles Lakers,Indiana Pacers,99,101,0
70,Orlando Magic,Milwaukee Bucks,85,82,0
71,Philadelphia Sixers,Atlanta Hawks,78,70,0
72,Vancouver Grizzlies,Dallas Mavericks,96,92,0
73,Denver Nuggets,Phoenix Suns,106,115,0
74,Golden State Warriors,Minnesota Timberwolves,101,99,0
75,Miami Heat,New Jersey Nets,95,72,0
76,New York Knicks,Detroit Pistons,78,69,0
77,Portland Trail Blazers,Dallas Mavericks,99,84,0
78,Utah Jazz,Sacramento Kings,120,112,1
79,Chicago Bulls,Atlanta Hawks,67,83,0
