,homeTeam,awayTeam,homeScore,awayScore,OT
0,Dallas Mavericks,Sacramento Kings,107,98,0
1,Detroit Pistons,Houston Rockets,87,79,0
2,Los Angeles Lakers,Denver Nuggets,89,78,0
3,Golden State Warriors,Portland Trail Blazers,75,78,0
4,Los Angeles Clippers,Seattle Supersonics,114,84,0
5,Memphis Grizzlies,Washington Wizards,91,103,0
6,Minnesota Timberwolves,New York Knicks,99,93,0
7,New Jersey Nets,Miami Heat,77,100,0
8,New Orleans Hornets,Dallas Mavericks,91,106,0
9,Orlando Magic,Milwaukee Bucks,93,92,0
10,Phoenix Suns,Atlanta Hawks,112,82,0
11,San Antonio Spurs,Sacramento Kings,101,85,0
12,Toronto Raptors,Houston Rockets,95,88,0
13,Utah Jazz,Los Angeles Lakers,104,78,0
14,Boston Celtics,Philadelphia Sixers,95,98,0
15,Cleveland Cavaliers,Indiana Pacers,104,109,1
16,Charlotte Bobcats,Washington Wizards,96,103,0
17,Denver Nuggets,Minnesota Timberwolves,94,92,1
18,Miami Heat,Cleveland Cavaliers,92,86,0
19,Boston Celtics,Indiana Pacers,94,100,0
20,Chicago Bulls,New Jersey Nets,106,111,1
21,Golden State Warriors,Utah Jazz,80,102,0
22,Los Angeles Lakers,San Antonio Spurs,96,105,0
23,Memphis Grizzlies,Houston Rockets,81,89,0
24,New Orleans Hornets,Orlando Magic,89,90,0
25,Philadelphia Sixers,Phoenix Suns,98,108,0
26,Portland Trail Blazers,Los Angeles Clippers,94,81,0
27,Seattle Supersonics,Atlanta Hawks,106,85,0
28,Toronto Raptors,Detroit Pistons,101,89,0
29,Charlotte Bobcats,Orlando Magic,111,100,0
30,Dallas Mavericks,Memphis Grizzlies,112,88,0
31,Denver Nuggets,Utah Jazz,82,106,0
32,Detroit Pistons,Philadelphia Sixers,99,91,0
33,Golden State Warriors,Los Angeles Clippers,86,94,0
34,Houston Rockets,Sacramento Kings,104,101,1
35,Indiana Pacers,Chicago Bulls,100,90,0
36,Milwaukee Bucks,Cleveland Cavaliers,102,88,0
37,Minnesota Timberwolves,New Orleans Hornets,99,92,0
38,New Jersey Nets,Phoenix Suns,80,112,0
39,New York Knicks,Boston Celtics,73,107,0
40,Washington Wizards,Miami Heat,106,118,0
41,Los Angeles Lakers,Atlanta Hawks,106,90,0
42,Seattle Supersonics,San Antonio Spurs,113,94,0
43,Toronto Raptors,Portland Trail Blazers,101,97,0
44,Dallas Mavericks,Golden State Warriors,101,98,1
45,Los Angeles Clippers,Detroit Pistons,96,99,1
46,Utah Jazz,Denver Nuggets,102,91,0
47,Atlanta Hawks,Cleveland Cavaliers,79,93,0
48,Chicago Bulls,Phoenix Suns,74,94,0
49,Denver Nuggets,Seattle Supersonics,88,108,0
50,Houston Rockets,Memphis Grizzlies,90,87,0
51,Miami Heat,Washington Wizards,103,93,0
52,Minnesota Timberwolves,Indiana Pacers,101,102,0
53,New Jersey Nets,Portland Trail Blazers,64,60,0
54,New Orleans Hornets,Los Angeles Lakers,98,106,0
55,New York Knicks,Philadelphia Sixers,96,88,0
56,Orlando Magic,Dallas Mavericks,94,84,0
57,Sacramento Kings,Toronto Raptors,108,92,0
58,Boston Celtics,Portland Trail Blazers,90,88,0
59,Cleveland Cavaliers,Phoenix Suns,114,109,1
60,Indiana Pacers,Los Angeles Clippers,68,102,0
61,Memphis Grizzlies,Los Angeles Lakers,110,87,0
62,Milwaukee Bucks,Charlotte Bobcats,102,100,0
63,Philadelphia Sixers,New Jersey Nets,108,100,1
64,San Antonio Spurs,Golden State Warriors,91,71,0
65,Seattle Supersonics,Sacramento Kings,108,78,0
66,Utah Jazz,Toronto Raptors,95,104,0
67,Washington Wizards,Orlando Magic,106,96,0
68,Denver Nuggets,Detroit Pistons,117,109,0
69,Houston Rockets,Minnesota Timberwolves,91,96,0
70,Miami Heat,Dallas Mavericks,93,113,0
71,Boston Celtics,Charlotte Bobcats,91,74,0
72,Memphis Grizzlies,Golden State Warriors,96,67,0
73,New Orleans Hornets,Atlanta Hawks,95,96,0
74,New York Knicks,Los Angeles Clippers,110,96,0
75,Orlando Magic,Los Angeles Lakers,122,113,0
76,Philadelphia Sixers,Indiana Pacers,106,104,1
77,San Antonio Spurs,Miami Heat,93,84,0
78,Seattle Supersonics,Toronto Raptors,88,87,0
79,Atlanta Hawks,San Antonio Spurs,88,103,0
80,Charlotte Bobcats,Golden State Warriors,87,103,0
81,Chicago Bulls,Los Angeles Clippers,96,97,0
82,Cleveland Cavaliers,Washington Wizards,105,74,0
83,Houston Rockets,Los Angeles Lakers,79,84,0
84,Indiana Pacers,New York Knicks,103,97,0
85,Milwaukee Bucks,New Orleans Hornets,94,91,0
86,New Jersey Nets,Dallas Mavericks,78,94,0
87,Phoenix Suns,Sacramento Kings,111,113,0
88,Portland Trail Blazers,Toronto Raptors,105,102,0
89,Utah Jazz,Detroit Pistons,108,93,0
90,Miami Heat,Milwaukee Bucks,112,110,1
91,Philadelphia Sixers,Orlando Magic,96,87,0
92,Sacramento Kings,Denver Nuggets,101,89,0
93,Seattle Supersonics,Memphis Grizzlies,118,113,0
94,Washington Wizards,Dallas Mavericks,113,122,0
95,Cleveland Cavaliers,Golden State Warriors,99,88,0
96,New Jersey Nets,Houston Rockets,69,80,0
97,Atlanta Hawks,Houston Rockets,88,84,0
98,Charlotte Bobcats,Utah Jazz,105,107,0
99,Dallas Mavericks,Phoenix Suns,101,107,0
100,Los Angeles Clippers,Toronto Raptors,101,89,0
101,Minnesota Timberwolves,Miami Heat,108,97,0
102,Philadelphia Sixers,Seattle Supersonics,95,103,0
103,Sacramento Kings,Chicago Bulls,113,106,0
