,homeTeam,awayTeam,homeScore,awayScore,OT
0,Indiana Pacers,Orlando Magic,97,87,0
1,Miami Heat,Chicago Bulls,107,95,0
2,Los Angeles Lakers,Los Angeles Clippers,116,103,0
3,Cleveland Cavaliers,Brooklyn Nets,98,94,0
4,Philadelphia Sixers,Miami Heat,114,110,0
5,Toronto Raptors,Boston Celtics,93,87,0
6,Detroit Pistons,Washington Wizards,113,102,0
7,New York Knicks,Milwaukee Bucks,90,83,0
8,Houston Rockets,Charlotte Bobcats,96,83,0
9,Minnesota Timberwolves,Orlando Magic,120,115,1
10,New Orleans Pelicans,Indiana Pacers,90,95,0
11,Dallas Mavericks,Atlanta Hawks,118,109,0
12,San Antonio Spurs,Memphis Grizzlies,101,94,0
13,Utah Jazz,Oklahoma City Thunder,98,101,0
14,Phoenix Suns,Portland Trail Blazers,104,91,0
15,Sacramento Kings,Denver Nuggets,90,88,0
16,Golden State Warriors,Los Angeles Lakers,125,94,0
17,Chicago Bulls,New York Knicks,82,81,0
18,Los Angeles Clippers,Golden State Warriors,126,115,0
19,Charlotte Bobcats,Cleveland Cavaliers,90,84,0
20,Orlando Magic,New Orleans Pelicans,110,90,0
21,Washington Wizards,Philadelphia Sixers,102,109,0
22,Atlanta Hawks,Toronto Raptors,102,95,0
23,Boston Celtics,Milwaukee Bucks,98,105,0
24,Houston Rockets,Dallas Mavericks,113,105,0
25,Memphis Grizzlies,Detroit Pistons,111,108,1
26,Minnesota Timberwolves,Oklahoma City Thunder,100,81,0
27,Brooklyn Nets,Miami Heat,101,100,0
28,Denver Nuggets,Portland Trail Blazers,98,113,0
29,Phoenix Suns,Utah Jazz,87,84,0
30,Sacramento Kings,Los Angeles Clippers,101,110,0
31,Los Angeles Lakers,San Antonio Spurs,85,91,0
32,Indiana Pacers,Cleveland Cavaliers,89,74,0
33,Philadelphia Sixers,Chicago Bulls,107,104,0
34,New Orleans Pelicans,Charlotte Bobcats,105,84,0
35,Dallas Mavericks,Memphis Grizzlies,111,99,0
36,Milwaukee Bucks,Toronto Raptors,90,97,0
37,Utah Jazz,Houston Rockets,93,104,0
38,Portland Trail Blazers,San Antonio Spurs,115,105,0
39,Golden State Warriors,Sacramento Kings,98,87,0
40,Detroit Pistons,Boston Celtics,87,77,0
41,Miami Heat,Washington Wizards,103,93,0
42,Orlando Magic,Brooklyn Nets,107,86,0
43,Oklahoma City Thunder,Phoenix Suns,103,96,0
44,New York Knicks,Minnesota Timberwolves,100,109,0
45,Los Angeles Lakers,Atlanta Hawks,105,103,0
46,Cleveland Cavaliers,Minnesota Timberwolves,93,92,0
47,Philadelphia Sixers,Golden State Warriors,90,110,0
48,Memphis Grizzlies,Boston Celtics,95,88,0
49,Los Angeles Clippers,Houston Rockets,137,118,0
50,Toronto Raptors,Miami Heat,95,104,0
51,Brooklyn Nets,Utah Jazz,104,88,0
52,Detroit Pistons,Indiana Pacers,91,99,0
53,New York Knicks,Charlotte Bobcats,97,102,0
54,New Orleans Pelicans,Phoenix Suns,98,104,0
55,Dallas Mavericks,Los Angeles Lakers,123,104,0
56,Denver Nuggets,San Antonio Spurs,94,102,0
57,Portland Trail Blazers,Houston Rockets,101,116,0
58,Sacramento Kings,Atlanta Hawks,100,105,0
59,Charlotte Bobcats,Toronto Raptors,92,90,0
60,Indiana Pacers,Chicago Bulls,97,80,0
61,Orlando Magic,Los Angeles Clippers,98,90,0
62,Philadelphia Sixers,Washington Wizards,102,116,0
63,Boston Celtics,Utah Jazz,97,87,0
64,Memphis Grizzlies,New Orleans Pelicans,84,99,0
65,Milwaukee Bucks,Cleveland Cavaliers,109,104,0
66,Minnesota Timberwolves,Golden State Warriors,93,106,0
67,San Antonio Spurs,Phoenix Suns,99,96,0
68,Oklahoma City Thunder,Dallas Mavericks,107,93,0
69,Miami Heat,Los Angeles Clippers,102,97,0
70,Denver Nuggets,Atlanta Hawks,109,107,0
71,Houston Rockets,Los Angeles Lakers,98,99,0
72,Charlotte Bobcats,New York Knicks,91,101,0
73,Indiana Pacers,Toronto Raptors,91,84,0
74,Orlando Magic,Boston Celtics,89,91,0
75,Philadelphia Sixers,Cleveland Cavaliers,94,79,0
76,Washington Wizards,Brooklyn Nets,112,108,1
77,Detroit Pistons,Oklahoma City Thunder,110,119,0
78,Chicago Bulls,Utah Jazz,97,73,0
79,Minnesota Timberwolves,Dallas Mavericks,116,108,0
80,New Orleans Pelicans,Los Angeles Lakers,96,85,0
81,San Antonio Spurs,Golden State Warriors,76,74,0
82,Phoenix Suns,Denver Nuggets,114,103,0
83,Portland Trail Blazers,Sacramento Kings,104,91,0
84,Toronto Raptors,Utah Jazz,115,91,0
85,Atlanta Hawks,Orlando Magic,104,94,0
86,Brooklyn Nets,Indiana Pacers,91,96,0
87,Cleveland Cavaliers,Philadelphia Sixers,127,125,1
88,Miami Heat,Boston Celtics,110,111,0
89,Houston Rockets,Los Angeles Clippers,94,107,0
90,Memphis Grizzlies,Golden State Warriors,108,90,0
91,Milwaukee Bucks,Dallas Mavericks,83,91,0
92,Sacramento Kings,Portland Trail Blazers,85,96,0
93,New York Knicks,San Antonio Spurs,89,120,0
94,Oklahoma City Thunder,Washington Wizards,106,105,1
95,Phoenix Suns,New Orleans Pelicans,101,94,0
96,Los Angeles Lakers,Minnesota Timberwolves,90,113,0
97,Charlotte Bobcats,Atlanta Hawks,94,103,0
98,Indiana Pacers,Memphis Grizzlies,95,79,0
99,Philadelphia Sixers,San Antonio Spurs,85,109,0
100,Boston Celtics,Orlando Magic,120,105,0
101,Chicago Bulls,Cleveland Cavaliers,96,81,0
102,Houston Rockets,Toronto Raptors,110,104,1
103,Utah Jazz,Denver Nuggets,81,100,0
104,Portland Trail Blazers,Detroit Pistons,109,103,0
105,Los Angeles Clippers,Minnesota Timberwolves,109,107,0
106,Miami Heat,Milwaukee Bucks,118,95,0
107,Dallas Mavericks,Washington Wizards,105,95,0
108,Golden State Warriors,Detroit Pistons,113,95,0
109,Los Angeles Lakers,New Orleans Pelicans,116,95,0
110,Orlando Magic,Milwaukee Bucks,94,91,0
111,Philadelphia Sixers,Houston Rockets,123,117,1
112,Boston Celtics,Charlotte Bobcats,83,89,0
113,Memphis Grizzlies,Toronto Raptors,87,103,0
114,Minnesota Timberwolves,Cleveland Cavaliers,124,95,0
115,Atlanta Hawks,New York Knicks,91,95,0
116,San Antonio Spurs,Washington Wizards,92,79,0
117,Denver Nuggets,Los Angeles Lakers,111,99,0
118,Utah Jazz,New Orleans Pelicans,111,105,0
119,Portland Trail Blazers,Phoenix Suns,90,89,0
120,Sacramento Kings,Brooklyn Nets,107,86,0
121,Los Angeles Clippers,Oklahoma City Thunder,111,103,0
122,New York Knicks,Houston Rockets,106,109,0
123,Golden State Warriors,Oklahoma City Thunder,116,115,0
124,Indiana Pacers,Milwaukee Bucks,104,77,0
125,Toronto Raptors,Chicago Bulls,80,96,0
126,Atlanta Hawks,Philadelphia Sixers,113,103,0
127,Boston Celtics,Portland Trail Blazers,96,109,0
128,Cleveland Cavaliers,Charlotte Bobcats,80,86,0
129,Miami Heat,Dallas Mavericks,110,104,0
130,Denver Nuggets,Minnesota Timberwolves,117,113,0
131,Phoenix Suns,Brooklyn Nets,98,100,1
132,Utah Jazz,San Antonio Spurs,82,91,0
133,Los Angeles Lakers,Memphis Grizzlies,86,89,0
134,Sacramento Kings,Detroit Pistons,90,97,0
135,Charlotte Bobcats,Miami Heat,81,97,0
136,Orlando Magic,Dallas Mavericks,100,108,0
137,Washington Wizards,Cleveland Cavaliers,96,103,1
138,New York Knicks,Atlanta Hawks,90,110,0
139,Chicago Bulls,Indiana Pacers,110,94,0
140,Houston Rockets,Denver Nuggets,122,111,0
141,Minnesota Timberwolves,Boston Celtics,106,88,0
142,New Orleans Pelicans,Philadelphia Sixers,135,98,0
143,Milwaukee Bucks,Oklahoma City Thunder,79,92,0
144,Golden State Warriors,Utah Jazz,102,88,0
145,Los Angeles Clippers,Brooklyn Nets,110,103,0
146,Toronto Raptors,Portland Trail Blazers,110,118,1
147,Sacramento Kings,Memphis Grizzlies,86,97,0
148,Los Angeles Lakers,Detroit Pistons,114,99,0
149,Brooklyn Nets,Portland Trail Blazers,98,108,0
150,Chicago Bulls,Charlotte Bobcats,86,81,0
151,Oklahoma City Thunder,Denver Nuggets,115,113,0
152,Dallas Mavericks,Philadelphia Sixers,97,94,0
153,Utah Jazz,Golden State Warriors,87,98,0
154,Los Angeles Clippers,Memphis Grizzlies,102,106,0
155,Washington Wizards,Minnesota Timberwolves,104,100,0
156,Detroit Pistons,New York Knicks,92,86,0
